"target_name","target_mean","target_non_zero_count"
"ENSG00000116691.11",0.034475074714686,12380
"ENSG00000120949.15",0.00223998415407829,1390
"ENSG00000227875.2",3.78670923316225e-05,26
"ENSG00000028137.19",0.00700978136123458,3868
"ENSG00000225196.2",5.8257065125573e-06,4
"ENSG00000048707.15",0.0137166259838162,6621
"ENSG00000162496.9",0.00770012758297263,4183
"ENSG00000204518.2",7.71906112913844e-05,53
"ENSG00000226166.2",0,0
"ENSG00000188984.12",1.45642662813932e-06,1
"ENSG00000157330.10",0.00039032233634134,261
"ENSG00000116726.4",0,0
"ENSG00000116721.9",0,0
"ENSG00000239810.3",1.45642662813932e-06,1
"ENSG00000231103.2",0,0
"ENSG00000179172.9",0,0
"ENSG00000120952.4",2.91285325627865e-06,2
"ENSG00000243073.3",0,0
"ENSG00000187545.5",0,0
"ENSG00000204510.5",0,0
"ENSG00000234064.1",0,0
"ENSG00000232423.6",0,0
"ENSG00000274178.2",0,0
"ENSG00000274764.5",0,0
"ENSG00000277058.2",0,0
"ENSG00000229571.7",0,0
"ENSG00000277862.1",0,0
"ENSG00000236179.1",0,0
"ENSG00000275774.2",5.8257065125573e-06,4
"ENSG00000229978.1",0,0
"ENSG00000280267.4",0,0
"ENSG00000179412.10",0,0
"ENSG00000204505.4",0,0
"ENSG00000279169.2",5.8257065125573e-06,4
"ENSG00000279804.2",1.74771195376719e-05,12
"ENSG00000250894.1",0,0
"ENSG00000270601.4",0,0
"ENSG00000231219.1",0,0
"ENSG00000182330.10",0,0
"ENSG00000237700.2",0,0
"ENSG00000204501.7",0,0
"ENSG00000204481.7",0,0
"ENSG00000204480.8",0,0
"ENSG00000204479.4",1.45642662813932e-06,1
"ENSG00000204478.9",0,0
"ENSG00000162494.6",5.8257065125573e-06,4
"ENSG00000215909.3",2.91285325627865e-06,2
"ENSG00000162493.16",8.8842024316499e-05,60
"ENSG00000222952.1",0,0
"ENSG00000116731.22",0.0118946362720139,6178
"ENSG00000189337.17",0.0032478313807507,1951
"ENSG00000235829.1",1.45642662813932e-06,1
"ENSG00000171729.14",0.00149720657372723,816
"ENSG00000215720.4",4.36927988441798e-06,2
"ENSG00000278480.1",5.82570651255731e-06,4
"ENSG00000142621.19",0.00118116199542099,736
"ENSG00000142634.13",0.00847349012251461,4581
"ENSG00000162438.11",0.00023739754038671,162
"ENSG00000142615.8",0.00034662953749716,193
"ENSG00000215704.9",0.000123796263391843,58
"ENSG00000132906.18",0.00931530471357914,5207
"ENSG00000116138.13",0.00521983303525135,3065
"ENSG00000116771.6",0.000505380039964347,334
"ENSG00000235084.3",0.000139816956301375,96
"ENSG00000236500.1",0,0
"ENSG00000197312.12",0.0141579232521424,6900
"ENSG00000215695.1",0,0
"ENSG00000116786.13",0.00647090350882303,3690
"ENSG00000162461.8",0.000358280950522275,241
"ENSG00000162460.7",4.36927988441797e-06,3
"ENSG00000162458.13",0.00258807011820358,1660
"ENSG00000224321.1",0.000179140475261137,121
"ENSG00000233954.6",0.000582570651255731,394
"ENSG00000178715.8",0.000150011942698351,103
"ENSG00000065526.11",0.02947807495354,10752
"ENSG00000270620.1",1.45642662813932e-06,1
"ENSG00000116809.11",0.00511351389139718,3023
"ENSG00000234607.2",5.8257065125573e-06,4
"ENSG00000231353.1",0,0
"ENSG00000275503.1",0,0
"ENSG00000224966.4",0,0
"ENSG00000183888.4",0.000289828898999726,196
"ENSG00000173641.17",3.78670923316225e-05,25
"ENSG00000186510.12",4.22363722160406e-05,28
"ENSG00000232456.1",0,0
"ENSG00000184908.17",3.05849591909259e-05,21
"ENSG00000185519.9",1.74771195376719e-05,12
"ENSG00000142627.13",1.60206929095326e-05,11
"ENSG00000142632.17",0.0028254676585903,1768
"ENSG00000237276.8",0.000230115407246014,154
"ENSG00000132881.12",0.000916092349099637,608
"ENSG00000233929.1",2.91285325627865e-05,19
"ENSG00000037637.11",0.00598736986828078,3451
"ENSG00000055070.17",0.0200477125363378,9071
"ENSG00000226457.1",7.42777580351057e-05,51
"ENSG00000187144.11",0.00017331476874858,119
"ENSG00000157191.20",0.0145540712949963,7325
"ENSG00000080947.14",0.00107629927819496,712
"ENSG00000225710.1",1.89335461658112e-05,13
"ENSG00000219481.10",0.0172717633831043,8142
"ENSG00000215908.10",0.0116674337180242,5914
"ENSG00000283773.1",0,0
"ENSG00000186301.8",4.80620787285978e-05,33
"ENSG00000280114.1",3.34978124472045e-05,23
"ENSG00000236698.1",2.91285325627865e-06,2
"ENSG00000268869.5",6.84520515225484e-05,47
"ENSG00000058453.17",0.00184529253785253,1177
"ENSG00000227684.2",0.000397604469482036,266
"ENSG00000186715.11",6.11699183818518e-05,42
"ENSG00000230239.1",2.91285325627865e-06,2
"ENSG00000235241.1",0,0
"ENSG00000117122.13",2.03899727939506e-05,13
"ENSG00000159363.18",0.00457026675910121,2745
"ENSG00000117118.9",0.0888041572241674,22179
"ENSG00000117115.13",4.80620787285978e-05,33
"ENSG00000142623.11",0,0
"ENSG00000142619.4",1.01949863969753e-05,7
"ENSG00000159339.13",0.000120883410135564,82
"ENSG00000276747.1",1.45642662813932e-06,1
"ENSG00000179051.14",0.0164663594577432,7547
"ENSG00000074964.17",7.28213314069667e-06,5
"ENSG00000117148.8",0.000669956248944091,391
