Gene,gRNA
RXRA,NTC-10
RXRB,NTC-10
RXYLT1,NTC-10
RYBP,NTC-10
RYK,NTC-10
S100A10,NTC-10
S100A11,NTC-10
S100A13,NTC-10
S100A1,NTC-10
S100A4,NTC-10
S100A6,NTC-10
S100PBP,NTC-10
SAAL1,NTC-10
SAC3D1,NTC-10
SACM1L,NTC-10
SACS,NTC-10
SAE1,NTC-10
SAFB2,NTC-10
SAFB,NTC-10
SAGE1,NTC-10
SALL2,NTC-10
SAMD10,NTC-10
SAMD12,NTC-10
SAMD1,NTC-10
SAMD4A,NTC-10
SAMD4B,NTC-10
SAMD5,NTC-10
SAMD8,NTC-10
SAMHD1,NTC-10
SAMM50,NTC-10
SAMSN1,NTC-10
SAP130,NTC-10
SAP18,NTC-10
SAP30BP,NTC-10
SAP30L,NTC-10
SAP30,NTC-10
SAR1A,NTC-10
SAR1B,NTC-10
SARAF,NTC-10
SARS2,NTC-10
SARS,NTC-10
SART1,NTC-10
SART3,NTC-10
SASS6,NTC-10
SAT1,NTC-10
SAT2,NTC-10
SATB2,NTC-10
SATL1,NTC-10
SAV1,NTC-10
SAXO2,NTC-10
SAYSD1,NTC-10
SBDS,NTC-10
SBDSP1,NTC-10
SBF1,NTC-10
SBF2,NTC-10
SBNO1,NTC-10
SBNO2,NTC-10
SC5D,NTC-10
SCAF11,NTC-10
SCAF1,NTC-10
SCAF4,NTC-10
SCAF8,NTC-10
SCAI,NTC-10
SCAMP1,NTC-10
SCAMP2,NTC-10
SCAMP3,NTC-10
SCAND1,NTC-10
SCAND2P,NTC-10
SCAPER,NTC-10
SCAP,NTC-10
SCARB1,NTC-10
SCARB2,NTC-10
SCART1,NTC-10
SCCPDH,NTC-10
SCD,NTC-10
SCFD1,NTC-10
SCFD2,NTC-10
SCG3,NTC-10
SCIN,NTC-10
SCLT1,NTC-10
SCLY,NTC-10
SCMH1,NTC-10
SCML2,NTC-10
SCN7A,NTC-10
SCN9A,NTC-10
SCNM1,NTC-10
SCO1,NTC-10
SCOC,NTC-10
SCP2,NTC-10
SCPEP1,NTC-10
SCRIB,NTC-10
SCRN2,NTC-10
SCRN3,NTC-10
SCYL1,NTC-10
SCYL2,NTC-10
SCYL3,NTC-10
SDAD1,NTC-10
SDAD1P1,NTC-10
SDC3,NTC-10
SDC4,NTC-10
SDCBP,NTC-10
SDCCAG8,NTC-10
SDE2,NTC-10
SDF2L1,NTC-10
SDF4,NTC-10
SDHAF1,NTC-10
SDHAF2,NTC-10
SDHAF3,NTC-10
SDHAF4,NTC-10
SDHA,NTC-10
SDHAP1,NTC-10
SDHAP3,NTC-10
SDHB,NTC-10
SDHC,NTC-10
SDHD,NTC-10
SDR39U1,NTC-10
SDSL,NTC-10
SEC11A,NTC-10
SEC11C,NTC-10
SEC13,NTC-10
SEC14L1,NTC-10
SEC22B,NTC-10
SEC22C,NTC-10
SEC23A,NTC-10
SEC23B,NTC-10
SEC23IP,NTC-10
SEC24A,NTC-10
SEC24B,NTC-10
SEC24C,NTC-10
SEC24D,NTC-10
SEC31A,NTC-10
SEC61A2,NTC-10
SEC61B,NTC-10
SEC61G,NTC-10
SEC62,NTC-10
SEC63,NTC-10
SECISBP2L,NTC-10
SECISBP2,NTC-10
SEH1L,NTC-10
SEL1L3,NTC-10
SEL1L,NTC-10
SELENBP1,NTC-10
SELENOF,NTC-10
SELENOI,NTC-10
SELENOK,NTC-10
SELENOM,NTC-10
SELENON,NTC-10
SELENOOLP,NTC-10
SELENOO,NTC-10
SELENOP,NTC-10
SELENOS,NTC-10
SELENOT,NTC-10
SELENOW,NTC-10
SEM1,NTC-10
SEMA4B,NTC-10
SEMA4C,NTC-10
SEMA4D,NTC-10
SEMA7A,NTC-10
SENP1,NTC-10
SENP2,NTC-10
SENP5,NTC-10
SENP6,NTC-10
SENP7,NTC-10
SENP8,NTC-10
SEPHS1,NTC-10
SEPHS2,NTC-10
SEPSECS,NTC-10
SEPT11,NTC-10
SEPT1,NTC-10
SEPT2,NTC-10
SEPT6,NTC-10
SEPT7,NTC-10
SEPT7P2,NTC-10
SEPT8,NTC-10
SEPT9,NTC-10
SERAC1,NTC-10
SERBP1,NTC-10
SERF2,NTC-10
SERGEF,NTC-10
SERINC1,NTC-10
SERINC2,NTC-10
SERINC3,NTC-10
SERINC5,NTC-10
SERP1,NTC-10
SERPINB1,NTC-10
SERPINB6,NTC-10
SERPINB9,NTC-10
SERPINF1,NTC-10
SERPINH1,NTC-10
SERPINI1,NTC-10
SERTAD1,NTC-10
SERTAD2,NTC-10
SERTAD3,NTC-10
SESN1,NTC-10
SESN2,NTC-10
SESN3,NTC-10
SETBP1,NTC-10
SETD1A,NTC-10
SETD1B,NTC-10
SETD2,NTC-10
SETD3,NTC-10
SETD4,NTC-10
SETD5,NTC-10
SETD6,NTC-10
SETD9,NTC-10
SETDB1,NTC-10
SETDB2,NTC-10
SETMAR,NTC-10
SET,NTC-10
SETX,NTC-10
SF1,NTC-10
SF3A1,NTC-10
SF3A3,NTC-10
SF3B1,NTC-10
SF3B2,NTC-10
SF3B3,NTC-10
SF3B4,NTC-10
SF3B5,NTC-10
SF3B6,NTC-10
SFI1,NTC-10
SFMBT1,NTC-10
SFMBT2,NTC-10
SFPQ,NTC-10
SFR1,NTC-10
SFSWAP,NTC-10
SFT2D1,NTC-10
SFT2D2,NTC-10
SFXN1,NTC-10
SFXN2,NTC-10
SFXN4,NTC-10
SFXN5,NTC-10
SGF29,NTC-10
SGK1,NTC-10
SGK3,NTC-10
SGMS1,NTC-10
SGO1,NTC-10
SGO2,NTC-10
SGPL1,NTC-10
SGSH,NTC-10
SGSM2,NTC-10
SGTA,NTC-10
SGTB,NTC-10
SH2B1,NTC-10
SH2B3,NTC-10
SH2D2A,NTC-10
SH2D3A,NTC-10
SH3BGRL2,NTC-10
SH3BGRL,NTC-10
SH3BGR,NTC-10
SH3BP1,NTC-10
SH3BP2,NTC-10
SH3BP5L,NTC-10
SH3BP5,NTC-10
SH3GL1,NTC-10
SH3GL3,NTC-10
SH3GLB1,NTC-10
SH3GLB2,NTC-10
SH3PXD2A,NTC-10
SH3YL1,NTC-10
SHARPIN,NTC-10
SHB,NTC-10
SHC1,NTC-10
SHCBP1,NTC-10
SHH,NTC-10
SHISA5,NTC-10
SHKBP1,NTC-10
SHLD1,NTC-10
SHLD2,NTC-10
SHLD3,NTC-10
SHMT1,NTC-10
SHMT2,NTC-10
SHOC2,NTC-10
SHOX2,NTC-10
SHOX,NTC-10
SHPRH,NTC-10
SHQ1,NTC-10
SHROOM1,NTC-10
SHTN1,NTC-10
SIAE,NTC-10
SIAH1,NTC-10
SIAH2,NTC-10
SIDT2,NTC-10
SIGIRR,NTC-10
SIGMAR1,NTC-10
SIK2,NTC-10
SIK3,NTC-10
SIKE1,NTC-10
SIL1,NTC-10
SIMC1,NTC-10
SIN3A,NTC-10
SIN3B,NTC-10
SINHCAF,NTC-10
SIPA1L1,NTC-10
SIPA1L3,NTC-10
SIPA1,NTC-10
SIRT1,NTC-10
SIRT3,NTC-10
SIRT5,NTC-10
SIRT6,NTC-10
SIRT7,NTC-10
SIVA1,NTC-10
SIX3,NTC-10
SIX5,NTC-10
SKA1,NTC-10
SKA2,NTC-10
SKA3,NTC-10
SKAP2,NTC-10
SKIL,NTC-10
SKI,NTC-10
SKIV2L,NTC-10
SKP1,NTC-10
SKP2,NTC-10
SLAIN2,NTC-10
SLBP,NTC-10
SLC10A3,NTC-10
SLC10A4,NTC-10
SLC10A7,NTC-10
SLC11A1,NTC-10
SLC11A2,NTC-10
SLC12A2,NTC-10
SLC12A4,NTC-10
SLC12A5,NTC-10
SLC12A6,NTC-10
SLC12A9,NTC-10
SLC13A3,NTC-10
SLC15A4,NTC-10
SLC16A1,NTC-10
SLC16A4,NTC-10
SLC17A5,NTC-10
SLC17A7,NTC-10
SLC18B1,NTC-10
SLC19A1,NTC-10
SLC19A2,NTC-10
SLC1A5,NTC-10
SLC20A1,NTC-10
SLC20A2,NTC-10
SLC22A18,NTC-10
SLC22A23,NTC-10
SLC22A4,NTC-10
SLC22A5,NTC-10
SLC23A2,NTC-10
SLC24A2,NTC-10
SLC25A10,NTC-10
SLC25A11,NTC-10
SLC25A12,NTC-10
SLC25A13,NTC-10
SLC25A14,NTC-10
SLC25A15,NTC-10
SLC25A16,NTC-10
SLC25A17,NTC-10
SLC25A19,NTC-10
SLC25A1,NTC-10
SLC25A1P5,NTC-10
SLC25A20,NTC-10
SLC25A21,NTC-10
SLC25A22,NTC-10
SLC25A23,NTC-10
SLC25A24,NTC-10
SLC25A24P1,NTC-10
SLC25A25,NTC-10
SLC25A26,NTC-10
SLC25A30,NTC-10
SLC25A32,NTC-10
SLC25A33,NTC-10
SLC25A35,NTC-10
SLC25A36,NTC-10
SLC25A37,NTC-10
SLC25A38,NTC-10
SLC25A39,NTC-10
SLC25A3,NTC-10
SLC25A40,NTC-10
SLC25A41,NTC-10
SLC25A42,NTC-10
SLC25A43,NTC-10
SLC25A44,NTC-10
SLC25A45,NTC-10
SLC25A46,NTC-10
SLC25A4,NTC-10
SLC25A51,NTC-10
SLC25A53,NTC-10
SLC25A5,NTC-10
SLC25A6,NTC-10
SLC26A11,NTC-10
SLC26A2,NTC-10
SLC26A6,NTC-10
SLC27A1,NTC-10
SLC27A2,NTC-10
SLC27A4,NTC-10
SLC27A5,NTC-10
SLC29A2,NTC-10
SLC29A3,NTC-10
SLC29A4,NTC-10
SLC2A11,NTC-10
SLC2A13,NTC-10
SLC2A1,NTC-10
SLC2A3,NTC-10
SLC2A4RG,NTC-10
SLC2A8,NTC-10
SLC30A10,NTC-10
SLC30A1,NTC-10
SLC30A4,NTC-10
SLC30A5,NTC-10
SLC30A6,NTC-10
SLC30A7,NTC-10
SLC30A9,NTC-10
SLC31A1,NTC-10
SLC33A1,NTC-10
SLC35A1,NTC-10
SLC35A2,NTC-10
SLC35A3,NTC-10
SLC35A4,NTC-10
SLC35A5,NTC-10
SLC35B1,NTC-10
SLC35B2,NTC-10
SLC35B3,NTC-10
SLC35B4,NTC-10
SLC35C1,NTC-10
SLC35C2,NTC-10
SLC35D1,NTC-10
SLC35D2,NTC-10
SLC35E1,NTC-10
SLC35E2A,NTC-10
SLC35E2B,NTC-10
SLC35E3,NTC-10
SLC35E4,NTC-10
SLC35F2,NTC-10
SLC35F5,NTC-10
SLC35F6,NTC-10
SLC35G1,NTC-10
SLC35G2,NTC-10
SLC36A1,NTC-10
SLC36A4,NTC-10
SLC37A3,NTC-10
SLC37A4,NTC-10
SLC38A10,NTC-10
SLC38A1,NTC-10
SLC38A2,NTC-10
SLC38A5,NTC-10
SLC38A6,NTC-10
SLC38A7,NTC-10
SLC38A9,NTC-10
SLC39A10,NTC-10
SLC39A11,NTC-10
SLC39A13,NTC-10
SLC39A14,NTC-10
SLC39A1,NTC-10
SLC39A3,NTC-10
SLC39A4,NTC-10
SLC39A6,NTC-10
SLC39A7,NTC-10
SLC39A8,NTC-10
SLC39A9,NTC-10
SLC3A2,NTC-10
SLC40A1,NTC-10
SLC41A1,NTC-10
SLC41A3,NTC-10
SLC43A1,NTC-10
SLC43A2,NTC-10
SLC43A3,NTC-10
SLC44A2,NTC-10
SLC44A4,NTC-10
SLC44A5,NTC-10
SLC45A4,NTC-10
SLC48A1,NTC-10
SLC4A1AP,NTC-10
SLC4A1,NTC-10
SLC4A2,NTC-10
SLC4A7,NTC-10
SLC50A1,NTC-10
SLC52A2,NTC-10
SLC5A3,NTC-10
SLC5A6,NTC-10
SLC6A6,NTC-10
SLC6A8,NTC-10
SLC6A9,NTC-10
SLC7A11,NTC-10
SLC7A1,NTC-10
SLC7A5,NTC-10
SLC7A5P1,NTC-10
SLC7A6,NTC-10
SLC7A6OS,NTC-10
SLC7A8,NTC-10
SLC8B1,NTC-10
SLC9A1,NTC-10
SLC9A2,NTC-10
SLC9A3,NTC-10
SLC9A3R1,NTC-10
SLC9A3R2,NTC-10
SLC9A6,NTC-10
SLC9A8,NTC-10
SLC9B2,NTC-10
SLCO1A2,NTC-10
SLCO2B1,NTC-10
SLCO4A1,NTC-10
SLF1,NTC-10
SLF2,NTC-10
SLFN14,NTC-10
SLIRP,NTC-10
SLK,NTC-10
SLMAP,NTC-10
SLTM,NTC-10
SLU7,NTC-10
SLX4IP,NTC-10
SLX4,NTC-10
SMAD2,NTC-10
SMAD3,NTC-10
SMAD4,NTC-10
SMAD5,NTC-10
SMAD6,NTC-10
SMAGP,NTC-10
SMAP1,NTC-10
SMAP2,NTC-10
SMARCA2,NTC-10
SMARCA4,NTC-10
SMARCA5,NTC-10
SMARCAD1,NTC-10
SMARCAL1,NTC-10
SMARCB1,NTC-10
SMARCC1,NTC-10
SMARCC2,NTC-10
SMARCD1,NTC-10
SMARCD2,NTC-10
SMARCD3,NTC-10
SMARCE1,NTC-10
SMC1A,NTC-10
SMC2,NTC-10
SMC3,NTC-10
SMC4,NTC-10
SMC5,NTC-10
SMC6,NTC-10
SMCHD1,NTC-10
SMCO4,NTC-10
SMCR8,NTC-10
SMDT1,NTC-10
SMG1,NTC-10
SMG1P7,NTC-10
SMG5,NTC-10
SMG6,NTC-10
SMG7,NTC-10
SMG8,NTC-10
SMG9,NTC-10
SMIM10L1,NTC-10
SMIM10,NTC-10
SMIM12,NTC-10
SMIM13,NTC-10
SMIM14,NTC-10
SMIM15,NTC-10
SMIM19,NTC-10
SMIM1,NTC-10
SMIM20,NTC-10
SMIM26,NTC-10
SMIM27,NTC-10
SMIM29,NTC-10
SMIM30,NTC-10
SMIM36,NTC-10
SMIM3,NTC-10
SMIM4,NTC-10
SMIM7,NTC-10
SMIM8,NTC-10
SMNDC1,NTC-10
SMOX,NTC-10
SMPD1,NTC-10
SMPD4,NTC-10
SMS,NTC-10
SMTN,NTC-10
SMU1,NTC-10
SMUG1,NTC-10
SMURF1,NTC-10
SMURF2,NTC-10
SMYD2,NTC-10
SMYD3,NTC-10
SMYD4,NTC-10
SMYD5,NTC-10
SNAI1,NTC-10
SNAI3,NTC-10
SNAP23,NTC-10
SNAP29,NTC-10
SNAP47,NTC-10
SNAPC1,NTC-10
SNAPC2,NTC-10
SNAPC3,NTC-10
SNAPC4,NTC-10
SNAPC5,NTC-10
SNAPIN,NTC-10
SNCA,NTC-10
SNCG,NTC-10
SND1,NTC-10
SNF8,NTC-10
SNIP1,NTC-10
SNPH,NTC-10
SNRK,NTC-10
SNRNP200,NTC-10
SNRNP25,NTC-10
SNRNP27,NTC-10
SNRNP35,NTC-10
SNRNP40,NTC-10
SNRNP48,NTC-10
SNRNP70,NTC-10
SNRPA1,NTC-10
SNRPA,NTC-10
SNRPB2,NTC-10
SNRPB,NTC-10
SNRPC,NTC-10
SNRPD1,NTC-10
SNRPD2,NTC-10
SNRPD3,NTC-10
SNRPE,NTC-10
SNRPF,NTC-10
SNRPG,NTC-10
SNTA1,NTC-10
SNTB2,NTC-10
SNU13,NTC-10
SNUPN,NTC-10
SNW1,NTC-10
SNX10,NTC-10
SNX11,NTC-10
SNX12,NTC-10
SNX13,NTC-10
SNX14,NTC-10
SNX16,NTC-10
SNX17,NTC-10
SNX18,NTC-10
SNX19,NTC-10
SNX1,NTC-10
SNX24,NTC-10
SNX25,NTC-10
SNX27,NTC-10
SNX29,NTC-10
SNX2,NTC-10
SNX30,NTC-10
SNX33,NTC-10
SNX3,NTC-10
SNX4,NTC-10
SNX5,NTC-10
SNX6,NTC-10
SNX8,NTC-10
SNX9,NTC-10
SOAT1,NTC-10
SOCS1,NTC-10
SOCS2,NTC-10
SOCS3,NTC-10
SOCS4,NTC-10
SOCS5,NTC-10
SOCS6,NTC-10
SOCS7,NTC-10
SOD1,NTC-10
SOD2,NTC-10
SOGA1,NTC-10
SON,NTC-10
SORBS3,NTC-10
SORCS1,NTC-10
SORD,NTC-10
SORT1,NTC-10
SOS1,NTC-10
SOS2,NTC-10
SOSTDC1,NTC-10
SOX12,NTC-10
SOX18,NTC-10
SOX5,NTC-10
SOX6,NTC-10
SP100,NTC-10
SP110,NTC-10
SP140L,NTC-10
SP1,NTC-10
SP2,NTC-10
SP3,NTC-10
SP4,NTC-10
SP6,NTC-10
SPA17,NTC-10
SPACA6,NTC-10
SPACA9,NTC-10
SPAG16,NTC-10
SPAG4,NTC-10
SPAG5,NTC-10
SPAG6,NTC-10
SPAG7,NTC-10
SPAG9,NTC-10
SPANXB1,NTC-10
SPARC,NTC-10
SPART,NTC-10
SPAST,NTC-10
SPATA17,NTC-10
SPATA2L,NTC-10
SPATA2,NTC-10
SPATA33,NTC-10
SPATA4,NTC-10
SPATA5L1,NTC-10
SPATA5,NTC-10
SPATA7,NTC-10
SPATC1L,NTC-10
SPATS2L,NTC-10
SPATS2,NTC-10
SPC24,NTC-10
SPC25,NTC-10
SPCS1,NTC-10
SPCS2,NTC-10
SPCS3,NTC-10
SPDL1,NTC-10
SPDYC,NTC-10
SPECC1L,NTC-10
SPECC1,NTC-10
SPEN,NTC-10
SPG11,NTC-10
SPG21,NTC-10
SPG7,NTC-10
SPHK1,NTC-10
SPHK2,NTC-10
SPI1,NTC-10
SPIDR,NTC-10
SPIN1,NTC-10
SPIN2B,NTC-10
SPIN3,NTC-10
SPIN4,NTC-10
SPINK4,NTC-10
SPINK9,NTC-10
SPIRE1,NTC-10
SPIRE2,NTC-10
SPNS1,NTC-10
SPOPL,NTC-10
SPOP,NTC-10
SPPL2A,NTC-10
SPPL2B,NTC-10
SPPL3,NTC-10
SPRED1,NTC-10
SPRED2,NTC-10
SPR,NTC-10
SPRTN,NTC-10
SPRY4,NTC-10
SPRYD3,NTC-10
SPRYD4,NTC-10
SPRYD7,NTC-10
SPSB2,NTC-10
SPSB3,NTC-10
SPTA1,NTC-10
SPTAN1,NTC-10
SPTBN1,NTC-10
SPTBN2,NTC-10
SPTBN4,NTC-10
SPTB,NTC-10
SPTLC1,NTC-10
SPTLC2,NTC-10
SPTLC3,NTC-10
SPTSSA,NTC-10
SPTY2D1,NTC-10
SPTY2D1OS,NTC-10
SQLE,NTC-10
SQSTM1,NTC-10
SRA1,NTC-10
SRBD1,NTC-10
SRCAP,NTC-10
SRD5A1,NTC-10
SRD5A3,NTC-10
SREBF1,NTC-10
SREBF2,NTC-10
SREK1IP1,NTC-10
SREK1,NTC-10
SRFBP1,NTC-10
SRF,NTC-10
SRGAP1,NTC-10
SRGAP2B,NTC-10
SRGAP2C,NTC-10
SRGAP2,NTC-10
SRGAP3,NTC-10
SRI,NTC-10
SRM,NTC-10
SRP14,NTC-10
SRP14P2,NTC-10
SRP19,NTC-10
SRP54-AS1,NTC-10
SRP54,NTC-10
SRP68,NTC-10
SRP72,NTC-10
SRP9,NTC-10
SRPK1,NTC-10
SRPK2,NTC-10
SRPRA,NTC-10
SRPRB,NTC-10
SRRD,NTC-10
SRRM1,NTC-10
SRRM2,NTC-10
SRR,NTC-10
SRRT,NTC-10
SRSF10,NTC-10
SRSF11,NTC-10
SRSF1,NTC-10
SRSF2,NTC-10
SRSF3,NTC-10
SRSF4,NTC-10
SRSF5,NTC-10
SRSF6,NTC-10
SRSF7,NTC-10
SRSF8,NTC-10
SRSF9,NTC-10
SS18L1,NTC-10
SS18L2,NTC-10
SS18,NTC-10
SSB,NTC-10
SSBP1,NTC-10
SSBP2,NTC-10
SSBP3,NTC-10
SSBP4,NTC-10
SSH1,NTC-10
SSH2,NTC-10
SSNA1,NTC-10
SSR1,NTC-10
SSR2,NTC-10
SSR3,NTC-10
SSR4,NTC-10
SSRP1,NTC-10
SSSCA1,NTC-10
SSTR2,NTC-10
SSU72,NTC-10
SSX1,NTC-10
SSX2IP,NTC-10
ST13,NTC-10
ST20,NTC-10
ST3GAL1,NTC-10
ST3GAL2,NTC-10
ST3GAL3,NTC-10
ST3GAL4,NTC-10
ST3GAL5,NTC-10
ST6GAL1,NTC-10
ST6GALNAC1,NTC-10
ST6GALNAC4,NTC-10
ST7L,NTC-10
ST7,NTC-10
ST8SIA1,NTC-10
ST8SIA6,NTC-10
STAG1,NTC-10
STAG2,NTC-10
STAG3L2,NTC-10
STAG3L3,NTC-10
STAG3L4,NTC-10
STAG3L5P,NTC-10
STAM2,NTC-10
STAMBP,NTC-10
STAM,NTC-10
STAP2,NTC-10
STARD10,NTC-10
STARD3NL,NTC-10
STARD3,NTC-10
STARD4,NTC-10
STARD7,NTC-10
STARD8,NTC-10
STARD9,NTC-10
STAR,NTC-10
STAT1,NTC-10
STAT2,NTC-10
STAT3,NTC-10
STAT5A,NTC-10
STAT5B,NTC-10
STAT6,NTC-10
STAU1,NTC-10
STAU2,NTC-10
STC2,NTC-10
STEAP1B,NTC-10
STEAP1,NTC-10
STEAP3,NTC-10
STIL,NTC-10
STIM1,NTC-10
STIM2,NTC-10
STIP1,NTC-10
STK10,NTC-10
STK11IP,NTC-10
STK11,NTC-10
STK16,NTC-10
STK17A,NTC-10
STK17B,NTC-10
STK19,NTC-10
STK24,NTC-10
STK26,NTC-10
STK32C,NTC-10
STK35,NTC-10
STK38L,NTC-10
STK38,NTC-10
STK3,NTC-10
STK40,NTC-10
STK4,NTC-10
STMN1,NTC-10
STMN3,NTC-10
STMP1,NTC-10
STN1,NTC-10
STOML1,NTC-10
STOML2,NTC-10
STOM,NTC-10
STON2,NTC-10
STPG1,NTC-10
STRADB,NTC-10
STRAP,NTC-10
STRBP,NTC-10
STRIP1,NTC-10
STRIP2,NTC-10
STRN3,NTC-10
STRN4,NTC-10
STRN,NTC-10
STT3A,NTC-10
STT3B,NTC-10
STUB1,NTC-10
STX12,NTC-10
STX16,NTC-10
STX17,NTC-10
STX18,NTC-10
STX1A,NTC-10
STX2,NTC-10
STX3,NTC-10
STX4,NTC-10
STX5,NTC-10
STX6,NTC-10
STX7,NTC-10
STX8,NTC-10
STXBP1,NTC-10
STXBP2,NTC-10
STXBP3,NTC-10
STXBP4,NTC-10
STXBP5,NTC-10
STXBP6,NTC-10
STYXL1,NTC-10
STYX,NTC-10
SUB1,NTC-10
SUCLA2,NTC-10
SUCLG1,NTC-10
SUCLG2,NTC-10
SUCO,NTC-10
SUDS3,NTC-10
SUFU,NTC-10
SUGP2,NTC-10
SUGT1,NTC-10
SULT1A1,NTC-10
SULT1B1,NTC-10
SUMF1,NTC-10
SUMF2,NTC-10
SUMO1,NTC-10
SUMO2,NTC-10
SUMO3,NTC-10
SUN1,NTC-10
SUN2,NTC-10
SUOX,NTC-10
SUPT16H,NTC-10
SUPT20H,NTC-10
SUPT3H,NTC-10
SUPT4H1,NTC-10
SUPT5H,NTC-10
SUPT6H,NTC-10
SUPT7L,NTC-10
SUPV3L1,NTC-10
SURF1,NTC-10
SURF2,NTC-10
SURF6,NTC-10
SUSD1,NTC-10
SUSD6,NTC-10
SUV39H1,NTC-10
SUV39H2,NTC-10
SUZ12,NTC-10
SUZ12P1,NTC-10
SVBP,NTC-10
SVEP1,NTC-10
SVIL-AS1,NTC-10
SVIP,NTC-10
SWAP70,NTC-10
SWI5,NTC-10
SWSAP1,NTC-10
SWT1,NTC-10
SYAP1,NTC-10
SYCP2L,NTC-10
SYCP3,NTC-10
SYDE2,NTC-10
SYF2,NTC-10
SYK,NTC-10
SYMPK,NTC-10
SYNCRIP,NTC-10
SYNGAP1,NTC-10
SYNGR1,NTC-10
SYNGR2,NTC-10
SYNGR3,NTC-10
SYNJ1,NTC-10
SYNJ2,NTC-10
SYNRG,NTC-10
SYPL1,NTC-10
SYP,NTC-10
SYS1,NTC-10
SYT10,NTC-10
SYT5,NTC-10
SYVN1,NTC-10
SZRD1,NTC-10
SZT2,NTC-10
TAB1,NTC-10
TAB2,NTC-10
TAB3,NTC-10
TAC3,NTC-10
TACC1,NTC-10
TACC3,NTC-10
TACO1,NTC-10
TADA1,NTC-10
TADA2A,NTC-10
TADA2B,NTC-10
TADA3,NTC-10
TAF10,NTC-10
TAF11,NTC-10
TAF12,NTC-10
TAF13,NTC-10
TAF15,NTC-10
TAF1A,NTC-10
TAF1B,NTC-10
TAF1C,NTC-10
TAF1D,NTC-10
TAF1,NTC-10
TAF2,NTC-10
TAF3,NTC-10
TAF4B,NTC-10
TAF4,NTC-10
TAF5L,NTC-10
TAF5,NTC-10
TAF6L,NTC-10
TAF6,NTC-10
TAF7,NTC-10
TAF8,NTC-10
TAF9B,NTC-10
TAF9,NTC-10
TAGLN2,NTC-10
TAL1,NTC-10
TAL2,NTC-10
TALDO1,NTC-10
TAMM41,NTC-10
TANC2,NTC-10
TANGO2,NTC-10
TANGO6,NTC-10
TANK,NTC-10
TAOK1,NTC-10
TAOK2,NTC-10
TAOK3,NTC-10
TAP1,NTC-10
TAP2,NTC-10
TAPBP,NTC-10
TAPT1,NTC-10
TARBP1,NTC-10
TARBP2,NTC-10
TARDBP,NTC-10
TARS2,NTC-10
TARSL2,NTC-10
TARS,NTC-10
TASOR2,NTC-10
TASOR,NTC-10
TASP1,NTC-10
TATDN1,NTC-10
TATDN2,NTC-10
TATDN3,NTC-10
TAX1BP1,NTC-10
TAZ,NTC-10
TBC1D10A,NTC-10
TBC1D10B,NTC-10
TBC1D12,NTC-10
TBC1D13,NTC-10
TBC1D15,NTC-10
TBC1D17,NTC-10
TBC1D19,NTC-10
TBC1D1,NTC-10
TBC1D20,NTC-10
TBC1D22A,NTC-10
TBC1D22B,NTC-10
TBC1D23,NTC-10
TBC1D24,NTC-10
TBC1D25,NTC-10
TBC1D2B,NTC-10
TBC1D2,NTC-10
TBC1D31,NTC-10
TBC1D32,NTC-10
TBC1D4,NTC-10
TBC1D5,NTC-10
TBC1D7,NTC-10
TBC1D8B,NTC-10
TBC1D9B,NTC-10
TBCA,NTC-10
TBCB,NTC-10
TBCCD1,NTC-10
TBCC,NTC-10
TBCD,NTC-10
TBCE.1,NTC-10
TBCE,NTC-10
TBCK,NTC-10
TBK1,NTC-10
TBKBP1,NTC-10
TBL1X,NTC-10
TBL1XR1,NTC-10
TBL2,NTC-10
TBL3,NTC-10
TBPL1,NTC-10
TBP,NTC-10
TBRG1,NTC-10
TBRG4,NTC-10
TBX18,NTC-10
TBX1,NTC-10
TBXA2R,NTC-10
TBXAS1,NTC-10
TCAF1,NTC-10
TCAF2,NTC-10
TCAIM,NTC-10
TCAM1P,NTC-10
TCEA1,NTC-10
TCEA2,NTC-10
TCEAL1,NTC-10
TCEAL4,NTC-10
TCEAL7,NTC-10
TCEAL8,NTC-10
TCEAL9,NTC-10
TCEANC2,NTC-10
TCEANC,NTC-10
TCERG1,NTC-10
TCF12,NTC-10
TCF19,NTC-10
TCF20,NTC-10
TCF25,NTC-10
TCF3,NTC-10
TCF4,NTC-10
TCF7,NTC-10
TCFL5,NTC-10
TCHP,NTC-10
TCOF1,NTC-10
TCP11L1,NTC-10
TCP1,NTC-10
TCTA,NTC-10
TCTE3,NTC-10
TCTN1,NTC-10
TCTN3,NTC-10
TDG,NTC-10
TDH,NTC-10
TDP1,NTC-10
TDP2,NTC-10
TDRD3,NTC-10
TDRD7,NTC-10
TDRKH,NTC-10
TEAD1,NTC-10
TEAD2,NTC-10
TEAD3,NTC-10
TEAD4,NTC-10
TEC,NTC-10
TECPR1,NTC-10
TECPR2,NTC-10
TECR,NTC-10
TEDC1,NTC-10
TEDC2,NTC-10
TEFM,NTC-10
TEKT4P2,NTC-10
TELO2,NTC-10
TENM1,NTC-10
TENT2,NTC-10
TENT4A,NTC-10
TENT4B,NTC-10
TENT5A,NTC-10
TENT5C,NTC-10
TEP1,NTC-10
TEPSIN,NTC-10
TERF1,NTC-10
TERF2IP,NTC-10
TERF2,NTC-10
TESC,NTC-10
TESK2,NTC-10
TESMIN,NTC-10
TES,NTC-10
TET1,NTC-10
TET2,NTC-10
TET3,NTC-10
TEX10,NTC-10
TEX15,NTC-10
