Gene,gRNA
ACRBP,NTC-10
ACSBG1,NTC-10
ACSF3,NTC-10
ACSL1,NTC-10
ACSL3,NTC-10
ACSL4,NTC-10
ACSL6,NTC-10
ACSM3,NTC-10
ACSS2,NTC-10
ACTB,NTC-10
ACTG1,NTC-10
ACTL6A,NTC-10
ACTN1,NTC-10
ACTR10,NTC-10
ACTR1A,NTC-10
ACTR1B,NTC-10
ACTR2,NTC-10
ACTR3B,NTC-10
ACTR3C,NTC-10
ACTR3,NTC-10
ACTR5,NTC-10
ACTR6,NTC-10
ACTR8,NTC-10
ACVR1B,NTC-10
ACVR1,NTC-10
ACVR2B,NTC-10
ACY1,NTC-10
ACYP1,NTC-10
ACYP2,NTC-10
AD000864.1,NTC-10
ADAL,NTC-10
ADAM10,NTC-10
ADAM15,NTC-10
ADAM17,NTC-10
ADAM19,NTC-10
ADAM32,NTC-10
ADAM3A,NTC-10
ADAM9,NTC-10
ADAMTS14,NTC-10
ADAMTS3,NTC-10
ADAMTS6,NTC-10
ADAMTSL3,NTC-10
ADAMTSL4,NTC-10
ADAMTSL5,NTC-10
ADA,NTC-10
ADARB1,NTC-10
ADAR,NTC-10
ADAT1,NTC-10
ADAT2,NTC-10
ADCK1,NTC-10
ADCK2,NTC-10
ADCK5,NTC-10
ADCY3,NTC-10
ADCY7,NTC-10
ADD1,NTC-10
ADD2,NTC-10
ADD3,NTC-10
ADGRB3,NTC-10
ADGRD1,NTC-10
ADGRE2,NTC-10
ADGRE5,NTC-10
ADGRF3,NTC-10
ADGRL1,NTC-10
ADGRV1,NTC-10
ADH5,NTC-10
ADI1,NTC-10
ADIPOR1,NTC-10
ADIPOR2,NTC-10
ADK,NTC-10
ADNP2,NTC-10
ADNP,NTC-10
ADO,NTC-10
ADORA2B,NTC-10
ADPGK,NTC-10
ADPRHL2,NTC-10
ADPRM,NTC-10
ADRM1,NTC-10
ADSL,NTC-10
ADSSL1,NTC-10
ADSS,NTC-10
ADTRP,NTC-10
AEBP2,NTC-10
AEN,NTC-10
AES,NTC-10
AF274858.1,NTC-10
AFAP1,NTC-10
AFDN,NTC-10
AFF1,NTC-10
AFF4,NTC-10
AFG1L,NTC-10
AFG3L1P,NTC-10
AFG3L2,NTC-10
AFMID,NTC-10
AFTPH,NTC-10
AGA,NTC-10
AGAP1,NTC-10
AGAP3,NTC-10
AGBL3,NTC-10
AGBL5,NTC-10
AGFG1,NTC-10
AGFG2,NTC-10
AGGF1,NTC-10
AGK,NTC-10
AGL,NTC-10
AGMO,NTC-10
AGO1,NTC-10
AGO2,NTC-10
AGO3,NTC-10
AGO4,NTC-10
AGPAT1,NTC-10
AGPAT2,NTC-10
AGPAT3,NTC-10
AGPAT4,NTC-10
AGPAT5,NTC-10
AGPS,NTC-10
AGRN,NTC-10
AGTPBP1,NTC-10
AGTRAP,NTC-10
AHCTF1,NTC-10
AHCYL1,NTC-10
AHCYL2,NTC-10
AHCY,NTC-10
AHDC1,NTC-10
AHI1,NTC-10
AHNAK,NTC-10
AHSA1,NTC-10
AHSA2P,NTC-10
AHSP,NTC-10
AIDA,NTC-10
AIF1L,NTC-10
AIF1,NTC-10
AIFM1,NTC-10
AIFM2,NTC-10
AIG1,NTC-10
AIMP1,NTC-10
AIMP2,NTC-10
AIP,NTC-10
AK1,NTC-10
AK2,NTC-10
AK3,NTC-10
AK4,NTC-10
AK5,NTC-10
AK6,NTC-10
AKAP10,NTC-10
AKAP11,NTC-10
AKAP17A,NTC-10
AKAP1,NTC-10
AKAP7,NTC-10
AKAP8L,NTC-10
