gene_id,gRNA_group,pair_type
SINHCAF,NTC-10,negative_control
SIPA1L1,NTC-10,negative_control
SIPA1L3,NTC-10,negative_control
SIPA1,NTC-10,negative_control
SIRT1,NTC-10,negative_control
SIRT3,NTC-10,negative_control
SIRT5,NTC-10,negative_control
SIRT6,NTC-10,negative_control
SIRT7,NTC-10,negative_control
SIVA1,NTC-10,negative_control
SIX3,NTC-10,negative_control
SIX5,NTC-10,negative_control
SKA1,NTC-10,negative_control
SKA2,NTC-10,negative_control
SKA3,NTC-10,negative_control
SKAP2,NTC-10,negative_control
SKIL,NTC-10,negative_control
SKI,NTC-10,negative_control
SKIV2L,NTC-10,negative_control
SKP1,NTC-10,negative_control
SKP2,NTC-10,negative_control
SLAIN2,NTC-10,negative_control
SLBP,NTC-10,negative_control
SLC10A3,NTC-10,negative_control
SLC10A4,NTC-10,negative_control
SLC10A7,NTC-10,negative_control
SLC11A1,NTC-10,negative_control
SLC11A2,NTC-10,negative_control
SLC12A2,NTC-10,negative_control
SLC12A4,NTC-10,negative_control
SLC12A5,NTC-10,negative_control
SLC12A6,NTC-10,negative_control
SLC12A9,NTC-10,negative_control
SLC13A3,NTC-10,negative_control
SLC15A4,NTC-10,negative_control
SLC16A1,NTC-10,negative_control
SLC16A4,NTC-10,negative_control
SLC17A5,NTC-10,negative_control
SLC17A7,NTC-10,negative_control
SLC18B1,NTC-10,negative_control
SLC19A1,NTC-10,negative_control
SLC19A2,NTC-10,negative_control
SLC1A5,NTC-10,negative_control
SLC20A1,NTC-10,negative_control
SLC20A2,NTC-10,negative_control
SLC22A18,NTC-10,negative_control
SLC22A23,NTC-10,negative_control
SLC22A4,NTC-10,negative_control
SLC22A5,NTC-10,negative_control
SLC23A2,NTC-10,negative_control
SLC24A2,NTC-10,negative_control
SLC25A10,NTC-10,negative_control
SLC25A11,NTC-10,negative_control
SLC25A12,NTC-10,negative_control
SLC25A13,NTC-10,negative_control
SLC25A14,NTC-10,negative_control
SLC25A15,NTC-10,negative_control
SLC25A16,NTC-10,negative_control
SLC25A17,NTC-10,negative_control
SLC25A19,NTC-10,negative_control
SLC25A1,NTC-10,negative_control
SLC25A1P5,NTC-10,negative_control
SLC25A20,NTC-10,negative_control
SLC25A21,NTC-10,negative_control
SLC25A22,NTC-10,negative_control
SLC25A23,NTC-10,negative_control
SLC25A24,NTC-10,negative_control
SLC25A24P1,NTC-10,negative_control
SLC25A25,NTC-10,negative_control
SLC25A26,NTC-10,negative_control
SLC25A30,NTC-10,negative_control
SLC25A32,NTC-10,negative_control
SLC25A33,NTC-10,negative_control
SLC25A35,NTC-10,negative_control
SLC25A36,NTC-10,negative_control
SLC25A37,NTC-10,negative_control
SLC25A38,NTC-10,negative_control
SLC25A39,NTC-10,negative_control
SLC25A3,NTC-10,negative_control
SLC25A40,NTC-10,negative_control
SLC25A41,NTC-10,negative_control
SLC25A42,NTC-10,negative_control
SLC25A43,NTC-10,negative_control
SLC25A44,NTC-10,negative_control
SLC25A45,NTC-10,negative_control
SLC25A46,NTC-10,negative_control
SLC25A4,NTC-10,negative_control
SLC25A51,NTC-10,negative_control
SLC25A53,NTC-10,negative_control
SLC25A5,NTC-10,negative_control
SLC25A6,NTC-10,negative_control
SLC26A11,NTC-10,negative_control
SLC26A2,NTC-10,negative_control
SLC26A6,NTC-10,negative_control
SLC27A1,NTC-10,negative_control
SLC27A2,NTC-10,negative_control
SLC27A4,NTC-10,negative_control
SLC27A5,NTC-10,negative_control
SLC29A2,NTC-10,negative_control
SLC29A3,NTC-10,negative_control
SLC29A4,NTC-10,negative_control
SLC2A11,NTC-10,negative_control
SLC2A13,NTC-10,negative_control
SLC2A1,NTC-10,negative_control
SLC2A3,NTC-10,negative_control
SLC2A4RG,NTC-10,negative_control
SLC2A8,NTC-10,negative_control
SLC30A10,NTC-10,negative_control
SLC30A1,NTC-10,negative_control
SLC30A4,NTC-10,negative_control
SLC30A5,NTC-10,negative_control
SLC30A6,NTC-10,negative_control
SLC30A7,NTC-10,negative_control
SLC30A9,NTC-10,negative_control
SLC31A1,NTC-10,negative_control
SLC33A1,NTC-10,negative_control
SLC35A1,NTC-10,negative_control
SLC35A2,NTC-10,negative_control
SLC35A3,NTC-10,negative_control
SLC35A4,NTC-10,negative_control
SLC35A5,NTC-10,negative_control
SLC35B1,NTC-10,negative_control
SLC35B2,NTC-10,negative_control
SLC35B3,NTC-10,negative_control
SLC35B4,NTC-10,negative_control
SLC35C1,NTC-10,negative_control
SLC35C2,NTC-10,negative_control
SLC35D1,NTC-10,negative_control
SLC35D2,NTC-10,negative_control
SLC35E1,NTC-10,negative_control
SLC35E2A,NTC-10,negative_control
SLC35E2B,NTC-10,negative_control
SLC35E3,NTC-10,negative_control
SLC35E4,NTC-10,negative_control
SLC35F2,NTC-10,negative_control
SLC35F5,NTC-10,negative_control
SLC35F6,NTC-10,negative_control
SLC35G1,NTC-10,negative_control
SLC35G2,NTC-10,negative_control
SLC36A1,NTC-10,negative_control
SLC36A4,NTC-10,negative_control
SLC37A3,NTC-10,negative_control
SLC37A4,NTC-10,negative_control
SLC38A10,NTC-10,negative_control
SLC38A1,NTC-10,negative_control
SLC38A2,NTC-10,negative_control
SLC38A5,NTC-10,negative_control
SLC38A6,NTC-10,negative_control
SLC38A7,NTC-10,negative_control
SLC38A9,NTC-10,negative_control
SLC39A10,NTC-10,negative_control
SLC39A11,NTC-10,negative_control
SLC39A13,NTC-10,negative_control
SLC39A14,NTC-10,negative_control
SLC39A1,NTC-10,negative_control
SLC39A3,NTC-10,negative_control
SLC39A4,NTC-10,negative_control
SLC39A6,NTC-10,negative_control
SLC39A7,NTC-10,negative_control
SLC39A8,NTC-10,negative_control
SLC39A9,NTC-10,negative_control
SLC3A2,NTC-10,negative_control
SLC40A1,NTC-10,negative_control
SLC41A1,NTC-10,negative_control
SLC41A3,NTC-10,negative_control
SLC43A1,NTC-10,negative_control
SLC43A2,NTC-10,negative_control
SLC43A3,NTC-10,negative_control
SLC44A2,NTC-10,negative_control
SLC44A4,NTC-10,negative_control
SLC44A5,NTC-10,negative_control
SLC45A4,NTC-10,negative_control
SLC48A1,NTC-10,negative_control
SLC4A1AP,NTC-10,negative_control
SLC4A1,NTC-10,negative_control
SLC4A2,NTC-10,negative_control
SLC4A7,NTC-10,negative_control
SLC50A1,NTC-10,negative_control
SLC52A2,NTC-10,negative_control
SLC5A3,NTC-10,negative_control
SLC5A6,NTC-10,negative_control
SLC6A6,NTC-10,negative_control
SLC6A8,NTC-10,negative_control
SLC6A9,NTC-10,negative_control
SLC7A11,NTC-10,negative_control
SLC7A1,NTC-10,negative_control
SLC7A5,NTC-10,negative_control
SLC7A5P1,NTC-10,negative_control
SLC7A6,NTC-10,negative_control
SLC7A6OS,NTC-10,negative_control
SLC7A8,NTC-10,negative_control
SLC8B1,NTC-10,negative_control
SLC9A1,NTC-10,negative_control
SLC9A2,NTC-10,negative_control
SLC9A3,NTC-10,negative_control
SLC9A3R1,NTC-10,negative_control
SLC9A3R2,NTC-10,negative_control
SLC9A6,NTC-10,negative_control
SLC9A8,NTC-10,negative_control
SLC9B2,NTC-10,negative_control
SLCO1A2,NTC-10,negative_control
SLCO2B1,NTC-10,negative_control
SLCO4A1,NTC-10,negative_control
SLF1,NTC-10,negative_control
SLF2,NTC-10,negative_control
SLFN14,NTC-10,negative_control
SLIRP,NTC-10,negative_control
SLK,NTC-10,negative_control
SLMAP,NTC-10,negative_control
SLTM,NTC-10,negative_control
SLU7,NTC-10,negative_control
SLX4IP,NTC-10,negative_control
SLX4,NTC-10,negative_control
SMAD2,NTC-10,negative_control
SMAD3,NTC-10,negative_control
SMAD4,NTC-10,negative_control
SMAD5,NTC-10,negative_control
SMAD6,NTC-10,negative_control
SMAGP,NTC-10,negative_control
SMAP1,NTC-10,negative_control
SMAP2,NTC-10,negative_control
SMARCA2,NTC-10,negative_control
SMARCA4,NTC-10,negative_control
SMARCA5,NTC-10,negative_control
SMARCAD1,NTC-10,negative_control
SMARCAL1,NTC-10,negative_control
SMARCB1,NTC-10,negative_control
SMARCC1,NTC-10,negative_control
SMARCC2,NTC-10,negative_control
SMARCD1,NTC-10,negative_control
SMARCD2,NTC-10,negative_control
SMARCD3,NTC-10,negative_control
SMARCE1,NTC-10,negative_control
SMC1A,NTC-10,negative_control
SMC2,NTC-10,negative_control
SMC3,NTC-10,negative_control
SMC4,NTC-10,negative_control
SMC5,NTC-10,negative_control
SMC6,NTC-10,negative_control
SMCHD1,NTC-10,negative_control
SMCO4,NTC-10,negative_control
SMCR8,NTC-10,negative_control
SMDT1,NTC-10,negative_control
SMG1,NTC-10,negative_control
SMG1P7,NTC-10,negative_control
SMG5,NTC-10,negative_control
SMG6,NTC-10,negative_control
SMG7,NTC-10,negative_control
SMG8,NTC-10,negative_control
SMG9,NTC-10,negative_control
SMIM10L1,NTC-10,negative_control
SMIM10,NTC-10,negative_control
SMIM12,NTC-10,negative_control
SMIM13,NTC-10,negative_control
SMIM14,NTC-10,negative_control
SMIM15,NTC-10,negative_control
SMIM19,NTC-10,negative_control
SMIM1,NTC-10,negative_control
SMIM20,NTC-10,negative_control
SMIM26,NTC-10,negative_control
SMIM27,NTC-10,negative_control
SMIM29,NTC-10,negative_control
SMIM30,NTC-10,negative_control
SMIM36,NTC-10,negative_control
SMIM3,NTC-10,negative_control
SMIM4,NTC-10,negative_control
SMIM7,NTC-10,negative_control
SMIM8,NTC-10,negative_control
SMNDC1,NTC-10,negative_control
SMOX,NTC-10,negative_control
SMPD1,NTC-10,negative_control
SMPD4,NTC-10,negative_control
SMS,NTC-10,negative_control
SMTN,NTC-10,negative_control
SMU1,NTC-10,negative_control
SMUG1,NTC-10,negative_control
SMURF1,NTC-10,negative_control
SMURF2,NTC-10,negative_control
SMYD2,NTC-10,negative_control
SMYD3,NTC-10,negative_control
SMYD4,NTC-10,negative_control
SMYD5,NTC-10,negative_control
SNAI1,NTC-10,negative_control
SNAI3,NTC-10,negative_control
SNAP23,NTC-10,negative_control
SNAP29,NTC-10,negative_control
SNAP47,NTC-10,negative_control
SNAPC1,NTC-10,negative_control
SNAPC2,NTC-10,negative_control
SNAPC3,NTC-10,negative_control
SNAPC4,NTC-10,negative_control
SNAPC5,NTC-10,negative_control
SNAPIN,NTC-10,negative_control
SNCA,NTC-10,negative_control
SNCG,NTC-10,negative_control
SND1,NTC-10,negative_control
SNF8,NTC-10,negative_control
SNIP1,NTC-10,negative_control
SNPH,NTC-10,negative_control
SNRK,NTC-10,negative_control
SNRNP200,NTC-10,negative_control
SNRNP25,NTC-10,negative_control
SNRNP27,NTC-10,negative_control
SNRNP35,NTC-10,negative_control
SNRNP40,NTC-10,negative_control
SNRNP48,NTC-10,negative_control
SNRNP70,NTC-10,negative_control
SNRPA1,NTC-10,negative_control
SNRPA,NTC-10,negative_control
SNRPB2,NTC-10,negative_control
SNRPB,NTC-10,negative_control
SNRPC,NTC-10,negative_control
SNRPD1,NTC-10,negative_control
SNRPD2,NTC-10,negative_control
SNRPD3,NTC-10,negative_control
SNRPE,NTC-10,negative_control
SNRPF,NTC-10,negative_control
SNRPG,NTC-10,negative_control
SNTA1,NTC-10,negative_control
SNTB2,NTC-10,negative_control
SNU13,NTC-10,negative_control
SNUPN,NTC-10,negative_control
SNW1,NTC-10,negative_control
SNX10,NTC-10,negative_control
SNX11,NTC-10,negative_control
SNX12,NTC-10,negative_control
SNX13,NTC-10,negative_control
SNX14,NTC-10,negative_control
SNX16,NTC-10,negative_control
SNX17,NTC-10,negative_control
SNX18,NTC-10,negative_control
SNX19,NTC-10,negative_control
SNX1,NTC-10,negative_control
SNX24,NTC-10,negative_control
SNX25,NTC-10,negative_control
SNX27,NTC-10,negative_control
SNX29,NTC-10,negative_control
SNX2,NTC-10,negative_control
SNX30,NTC-10,negative_control
SNX33,NTC-10,negative_control
SNX3,NTC-10,negative_control
SNX4,NTC-10,negative_control
SNX5,NTC-10,negative_control
SNX6,NTC-10,negative_control
SNX8,NTC-10,negative_control
SNX9,NTC-10,negative_control
SOAT1,NTC-10,negative_control
SOCS1,NTC-10,negative_control
SOCS2,NTC-10,negative_control
SOCS3,NTC-10,negative_control
SOCS4,NTC-10,negative_control
SOCS5,NTC-10,negative_control
SOCS6,NTC-10,negative_control
SOCS7,NTC-10,negative_control
SOD1,NTC-10,negative_control
SOD2,NTC-10,negative_control
SOGA1,NTC-10,negative_control
SON,NTC-10,negative_control
SORBS3,NTC-10,negative_control
SORCS1,NTC-10,negative_control
SORD,NTC-10,negative_control
SORT1,NTC-10,negative_control
SOS1,NTC-10,negative_control
SOS2,NTC-10,negative_control
SOSTDC1,NTC-10,negative_control
SOX12,NTC-10,negative_control
SOX18,NTC-10,negative_control
SOX5,NTC-10,negative_control
SOX6,NTC-10,negative_control
SP100,NTC-10,negative_control
SP110,NTC-10,negative_control
SP140L,NTC-10,negative_control
SP1,NTC-10,negative_control
SP2,NTC-10,negative_control
SP3,NTC-10,negative_control
SP4,NTC-10,negative_control
SP6,NTC-10,negative_control
SPA17,NTC-10,negative_control
SPACA6,NTC-10,negative_control
SPACA9,NTC-10,negative_control
SPAG16,NTC-10,negative_control
SPAG4,NTC-10,negative_control
SPAG5,NTC-10,negative_control
SPAG6,NTC-10,negative_control
SPAG7,NTC-10,negative_control
SPAG9,NTC-10,negative_control
SPANXB1,NTC-10,negative_control
SPARC,NTC-10,negative_control
SPART,NTC-10,negative_control
SPAST,NTC-10,negative_control
SPATA17,NTC-10,negative_control
SPATA2L,NTC-10,negative_control
SPATA2,NTC-10,negative_control
SPATA33,NTC-10,negative_control
SPATA4,NTC-10,negative_control
SPATA5L1,NTC-10,negative_control
SPATA5,NTC-10,negative_control
SPATA7,NTC-10,negative_control
SPATC1L,NTC-10,negative_control
SPATS2L,NTC-10,negative_control
SPATS2,NTC-10,negative_control
SPC24,NTC-10,negative_control
SPC25,NTC-10,negative_control
SPCS1,NTC-10,negative_control
SPCS2,NTC-10,negative_control
SPCS3,NTC-10,negative_control
SPDL1,NTC-10,negative_control
SPDYC,NTC-10,negative_control
SPECC1L,NTC-10,negative_control
SPECC1,NTC-10,negative_control
SPEN,NTC-10,negative_control
SPG11,NTC-10,negative_control
SPG21,NTC-10,negative_control
SPG7,NTC-10,negative_control
SPHK1,NTC-10,negative_control
SPHK2,NTC-10,negative_control
SPI1,NTC-10,negative_control
SPIDR,NTC-10,negative_control
SPIN1,NTC-10,negative_control
SPIN2B,NTC-10,negative_control
SPIN3,NTC-10,negative_control
SPIN4,NTC-10,negative_control
SPINK4,NTC-10,negative_control
SPINK9,NTC-10,negative_control
SPIRE1,NTC-10,negative_control
SPIRE2,NTC-10,negative_control
SPNS1,NTC-10,negative_control
SPOPL,NTC-10,negative_control
SPOP,NTC-10,negative_control
SPPL2A,NTC-10,negative_control
SPPL2B,NTC-10,negative_control
SPPL3,NTC-10,negative_control
SPRED1,NTC-10,negative_control
SPRED2,NTC-10,negative_control
SPR,NTC-10,negative_control
SPRTN,NTC-10,negative_control
SPRY4,NTC-10,negative_control
SPRYD3,NTC-10,negative_control
SPRYD4,NTC-10,negative_control
SPRYD7,NTC-10,negative_control
SPSB2,NTC-10,negative_control
SPSB3,NTC-10,negative_control
SPTA1,NTC-10,negative_control
SPTAN1,NTC-10,negative_control
SPTBN1,NTC-10,negative_control
SPTBN2,NTC-10,negative_control
SPTBN4,NTC-10,negative_control
SPTB,NTC-10,negative_control
SPTLC1,NTC-10,negative_control
SPTLC2,NTC-10,negative_control
SPTLC3,NTC-10,negative_control
SPTSSA,NTC-10,negative_control
SPTY2D1,NTC-10,negative_control
SPTY2D1OS,NTC-10,negative_control
SQLE,NTC-10,negative_control
SQSTM1,NTC-10,negative_control
SRA1,NTC-10,negative_control
SRBD1,NTC-10,negative_control
SRCAP,NTC-10,negative_control
SRD5A1,NTC-10,negative_control
SRD5A3,NTC-10,negative_control
SREBF1,NTC-10,negative_control
SREBF2,NTC-10,negative_control
SREK1IP1,NTC-10,negative_control
SREK1,NTC-10,negative_control
SRFBP1,NTC-10,negative_control
SRF,NTC-10,negative_control
SRGAP1,NTC-10,negative_control
SRGAP2B,NTC-10,negative_control
SRGAP2C,NTC-10,negative_control
SRGAP2,NTC-10,negative_control
SRGAP3,NTC-10,negative_control
SRI,NTC-10,negative_control
SRM,NTC-10,negative_control
SRP14,NTC-10,negative_control
SRP14P2,NTC-10,negative_control
SRP19,NTC-10,negative_control
SRP54-AS1,NTC-10,negative_control
SRP54,NTC-10,negative_control
SRP68,NTC-10,negative_control
SRP72,NTC-10,negative_control
SRP9,NTC-10,negative_control
SRPK1,NTC-10,negative_control
SRPK2,NTC-10,negative_control
SRPRA,NTC-10,negative_control
SRPRB,NTC-10,negative_control
SRRD,NTC-10,negative_control
SRRM1,NTC-10,negative_control
SRRM2,NTC-10,negative_control
SRR,NTC-10,negative_control
SRRT,NTC-10,negative_control
SRSF10,NTC-10,negative_control
SRSF11,NTC-10,negative_control
SRSF1,NTC-10,negative_control
SRSF2,NTC-10,negative_control
SRSF3,NTC-10,negative_control
SRSF4,NTC-10,negative_control
SRSF5,NTC-10,negative_control
SRSF6,NTC-10,negative_control
SRSF7,NTC-10,negative_control
SRSF8,NTC-10,negative_control
SRSF9,NTC-10,negative_control
SS18L1,NTC-10,negative_control
SS18L2,NTC-10,negative_control
SS18,NTC-10,negative_control
SSB,NTC-10,negative_control
SSBP1,NTC-10,negative_control
SSBP2,NTC-10,negative_control
SSBP3,NTC-10,negative_control
SSBP4,NTC-10,negative_control
SSH1,NTC-10,negative_control
SSH2,NTC-10,negative_control
SSNA1,NTC-10,negative_control
SSR1,NTC-10,negative_control
SSR2,NTC-10,negative_control
SSR3,NTC-10,negative_control
SSR4,NTC-10,negative_control
SSRP1,NTC-10,negative_control
SSSCA1,NTC-10,negative_control
SSTR2,NTC-10,negative_control
SSU72,NTC-10,negative_control
SSX1,NTC-10,negative_control
SSX2IP,NTC-10,negative_control
ST13,NTC-10,negative_control
ST20,NTC-10,negative_control
ST3GAL1,NTC-10,negative_control
ST3GAL2,NTC-10,negative_control
ST3GAL3,NTC-10,negative_control
ST3GAL4,NTC-10,negative_control
ST3GAL5,NTC-10,negative_control
ST6GAL1,NTC-10,negative_control
ST6GALNAC1,NTC-10,negative_control
ST6GALNAC4,NTC-10,negative_control
ST7L,NTC-10,negative_control
ST7,NTC-10,negative_control
ST8SIA1,NTC-10,negative_control
ST8SIA6,NTC-10,negative_control
STAG1,NTC-10,negative_control
STAG2,NTC-10,negative_control
STAG3L2,NTC-10,negative_control
STAG3L3,NTC-10,negative_control
STAG3L4,NTC-10,negative_control
STAG3L5P,NTC-10,negative_control
STAM2,NTC-10,negative_control
STAMBP,NTC-10,negative_control
STAM,NTC-10,negative_control
STAP2,NTC-10,negative_control
STARD10,NTC-10,negative_control
STARD3NL,NTC-10,negative_control
STARD3,NTC-10,negative_control
STARD4,NTC-10,negative_control
STARD7,NTC-10,negative_control
STARD8,NTC-10,negative_control
STARD9,NTC-10,negative_control
STAR,NTC-10,negative_control
STAT1,NTC-10,negative_control
STAT2,NTC-10,negative_control
STAT3,NTC-10,negative_control
STAT5A,NTC-10,negative_control
STAT5B,NTC-10,negative_control
STAT6,NTC-10,negative_control
STAU1,NTC-10,negative_control
STAU2,NTC-10,negative_control
STC2,NTC-10,negative_control
STEAP1B,NTC-10,negative_control
STEAP1,NTC-10,negative_control
STEAP3,NTC-10,negative_control
STIL,NTC-10,negative_control
STIM1,NTC-10,negative_control
STIM2,NTC-10,negative_control
STIP1,NTC-10,negative_control
STK10,NTC-10,negative_control
STK11IP,NTC-10,negative_control
STK11,NTC-10,negative_control
STK16,NTC-10,negative_control
STK17A,NTC-10,negative_control
STK17B,NTC-10,negative_control
STK19,NTC-10,negative_control
STK24,NTC-10,negative_control
STK26,NTC-10,negative_control
STK32C,NTC-10,negative_control
STK35,NTC-10,negative_control
STK38L,NTC-10,negative_control
STK38,NTC-10,negative_control
STK3,NTC-10,negative_control
STK40,NTC-10,negative_control
STK4,NTC-10,negative_control
STMN1,NTC-10,negative_control
STMN3,NTC-10,negative_control
STMP1,NTC-10,negative_control
STN1,NTC-10,negative_control
STOML1,NTC-10,negative_control
STOML2,NTC-10,negative_control
STOM,NTC-10,negative_control
STON2,NTC-10,negative_control
STPG1,NTC-10,negative_control
STRADB,NTC-10,negative_control
STRAP,NTC-10,negative_control
STRBP,NTC-10,negative_control
STRIP1,NTC-10,negative_control
STRIP2,NTC-10,negative_control
STRN3,NTC-10,negative_control
STRN4,NTC-10,negative_control
STRN,NTC-10,negative_control
STT3A,NTC-10,negative_control
STT3B,NTC-10,negative_control
STUB1,NTC-10,negative_control
STX12,NTC-10,negative_control
STX16,NTC-10,negative_control
STX17,NTC-10,negative_control
STX18,NTC-10,negative_control
STX1A,NTC-10,negative_control
STX2,NTC-10,negative_control
STX3,NTC-10,negative_control
STX4,NTC-10,negative_control
STX5,NTC-10,negative_control
STX6,NTC-10,negative_control
STX7,NTC-10,negative_control
STX8,NTC-10,negative_control
STXBP1,NTC-10,negative_control
STXBP2,NTC-10,negative_control
STXBP3,NTC-10,negative_control
STXBP4,NTC-10,negative_control
STXBP5,NTC-10,negative_control
STXBP6,NTC-10,negative_control
STYXL1,NTC-10,negative_control
STYX,NTC-10,negative_control
SUB1,NTC-10,negative_control
SUCLA2,NTC-10,negative_control
SUCLG1,NTC-10,negative_control
SUCLG2,NTC-10,negative_control
SUCO,NTC-10,negative_control
SUDS3,NTC-10,negative_control
SUFU,NTC-10,negative_control
SUGP2,NTC-10,negative_control
SUGT1,NTC-10,negative_control
SULT1A1,NTC-10,negative_control
SULT1B1,NTC-10,negative_control
SUMF1,NTC-10,negative_control
SUMF2,NTC-10,negative_control
SUMO1,NTC-10,negative_control
SUMO2,NTC-10,negative_control
SUMO3,NTC-10,negative_control
SUN1,NTC-10,negative_control
SUN2,NTC-10,negative_control
SUOX,NTC-10,negative_control
SUPT16H,NTC-10,negative_control
SUPT20H,NTC-10,negative_control
SUPT3H,NTC-10,negative_control
SUPT4H1,NTC-10,negative_control
SUPT5H,NTC-10,negative_control
SUPT6H,NTC-10,negative_control
SUPT7L,NTC-10,negative_control
SUPV3L1,NTC-10,negative_control
SURF1,NTC-10,negative_control
SURF2,NTC-10,negative_control
SURF6,NTC-10,negative_control
SUSD1,NTC-10,negative_control
SUSD6,NTC-10,negative_control
SUV39H1,NTC-10,negative_control
SUV39H2,NTC-10,negative_control
SUZ12,NTC-10,negative_control
SUZ12P1,NTC-10,negative_control
SVBP,NTC-10,negative_control
SVEP1,NTC-10,negative_control
SVIL-AS1,NTC-10,negative_control
SVIP,NTC-10,negative_control
SWAP70,NTC-10,negative_control
SWI5,NTC-10,negative_control
SWSAP1,NTC-10,negative_control
SWT1,NTC-10,negative_control
SYAP1,NTC-10,negative_control
SYCP2L,NTC-10,negative_control
SYCP3,NTC-10,negative_control
SYDE2,NTC-10,negative_control
SYF2,NTC-10,negative_control
SYK,NTC-10,negative_control
SYMPK,NTC-10,negative_control
SYNCRIP,NTC-10,negative_control
SYNGAP1,NTC-10,negative_control
SYNGR1,NTC-10,negative_control
SYNGR2,NTC-10,negative_control
SYNGR3,NTC-10,negative_control
SYNJ1,NTC-10,negative_control
SYNJ2,NTC-10,negative_control
SYNRG,NTC-10,negative_control
SYPL1,NTC-10,negative_control
SYP,NTC-10,negative_control
SYS1,NTC-10,negative_control
SYT10,NTC-10,negative_control
SYT5,NTC-10,negative_control
SYVN1,NTC-10,negative_control
SZRD1,NTC-10,negative_control
SZT2,NTC-10,negative_control
TAB1,NTC-10,negative_control
TAB2,NTC-10,negative_control
TAB3,NTC-10,negative_control
TAC3,NTC-10,negative_control
TACC1,NTC-10,negative_control
TACC3,NTC-10,negative_control
TACO1,NTC-10,negative_control
TADA1,NTC-10,negative_control
TADA2A,NTC-10,negative_control
TADA2B,NTC-10,negative_control
TADA3,NTC-10,negative_control
TAF10,NTC-10,negative_control
TAF11,NTC-10,negative_control
TAF12,NTC-10,negative_control
TAF13,NTC-10,negative_control
TAF15,NTC-10,negative_control
TAF1A,NTC-10,negative_control
TAF1B,NTC-10,negative_control
TAF1C,NTC-10,negative_control
TAF1D,NTC-10,negative_control
TAF1,NTC-10,negative_control
TAF2,NTC-10,negative_control
TAF3,NTC-10,negative_control
TAF4B,NTC-10,negative_control
TAF4,NTC-10,negative_control
TAF5L,NTC-10,negative_control
TAF5,NTC-10,negative_control
TAF6L,NTC-10,negative_control
TAF6,NTC-10,negative_control
TAF7,NTC-10,negative_control
TAF8,NTC-10,negative_control
TAF9B,NTC-10,negative_control
TAF9,NTC-10,negative_control
TAGLN2,NTC-10,negative_control
TAL1,NTC-10,negative_control
TAL2,NTC-10,negative_control
TALDO1,NTC-10,negative_control
TAMM41,NTC-10,negative_control
TANC2,NTC-10,negative_control
TANGO2,NTC-10,negative_control
TANGO6,NTC-10,negative_control
TANK,NTC-10,negative_control
TAOK1,NTC-10,negative_control
TAOK2,NTC-10,negative_control
TAOK3,NTC-10,negative_control
TAP1,NTC-10,negative_control
TAP2,NTC-10,negative_control
TAPBP,NTC-10,negative_control
TAPT1,NTC-10,negative_control
TARBP1,NTC-10,negative_control
TARBP2,NTC-10,negative_control
TARDBP,NTC-10,negative_control
TARS2,NTC-10,negative_control
TARSL2,NTC-10,negative_control
TARS,NTC-10,negative_control
TASOR2,NTC-10,negative_control
TASOR,NTC-10,negative_control
TASP1,NTC-10,negative_control
TATDN1,NTC-10,negative_control
TATDN2,NTC-10,negative_control
TATDN3,NTC-10,negative_control
TAX1BP1,NTC-10,negative_control
TAZ,NTC-10,negative_control
TBC1D10A,NTC-10,negative_control
TBC1D10B,NTC-10,negative_control
TBC1D12,NTC-10,negative_control
TBC1D13,NTC-10,negative_control
TBC1D15,NTC-10,negative_control
TBC1D17,NTC-10,negative_control
TBC1D19,NTC-10,negative_control
TBC1D1,NTC-10,negative_control
TBC1D20,NTC-10,negative_control
TBC1D22A,NTC-10,negative_control
TBC1D22B,NTC-10,negative_control
TBC1D23,NTC-10,negative_control
TBC1D24,NTC-10,negative_control
TBC1D25,NTC-10,negative_control
TBC1D2B,NTC-10,negative_control
TBC1D2,NTC-10,negative_control
TBC1D31,NTC-10,negative_control
TBC1D32,NTC-10,negative_control
TBC1D4,NTC-10,negative_control
TBC1D5,NTC-10,negative_control
TBC1D7,NTC-10,negative_control
TBC1D8B,NTC-10,negative_control
TBC1D9B,NTC-10,negative_control
TBCA,NTC-10,negative_control
TBCB,NTC-10,negative_control
TBCCD1,NTC-10,negative_control
TBCC,NTC-10,negative_control
TBCD,NTC-10,negative_control
TBCE.1,NTC-10,negative_control
TBCE,NTC-10,negative_control
TBCK,NTC-10,negative_control
TBK1,NTC-10,negative_control
TBKBP1,NTC-10,negative_control
TBL1X,NTC-10,negative_control
TBL1XR1,NTC-10,negative_control
TBL2,NTC-10,negative_control
TBL3,NTC-10,negative_control
TBPL1,NTC-10,negative_control
TBP,NTC-10,negative_control
TBRG1,NTC-10,negative_control
TBRG4,NTC-10,negative_control
TBX18,NTC-10,negative_control
TBX1,NTC-10,negative_control
TBXA2R,NTC-10,negative_control
TBXAS1,NTC-10,negative_control
TCAF1,NTC-10,negative_control
TCAF2,NTC-10,negative_control
TCAIM,NTC-10,negative_control
TCAM1P,NTC-10,negative_control
TCEA1,NTC-10,negative_control
TCEA2,NTC-10,negative_control
TCEAL1,NTC-10,negative_control
TCEAL4,NTC-10,negative_control
TCEAL7,NTC-10,negative_control
TCEAL8,NTC-10,negative_control
TCEAL9,NTC-10,negative_control
TCEANC2,NTC-10,negative_control
TCEANC,NTC-10,negative_control
TCERG1,NTC-10,negative_control
TCF12,NTC-10,negative_control
