gene_id,gRNA_group,pair_type
ADGRE2,NTC-10,negative_control
ADGRE5,NTC-10,negative_control
ADGRF3,NTC-10,negative_control
ADGRL1,NTC-10,negative_control
ADGRV1,NTC-10,negative_control
ADH5,NTC-10,negative_control
ADI1,NTC-10,negative_control
ADIPOR1,NTC-10,negative_control
ADIPOR2,NTC-10,negative_control
ADK,NTC-10,negative_control
ADNP2,NTC-10,negative_control
ADNP,NTC-10,negative_control
ADO,NTC-10,negative_control
ADORA2B,NTC-10,negative_control
ADPGK,NTC-10,negative_control
ADPRHL2,NTC-10,negative_control
ADPRM,NTC-10,negative_control
ADRM1,NTC-10,negative_control
ADSL,NTC-10,negative_control
ADSSL1,NTC-10,negative_control
ADSS,NTC-10,negative_control
ADTRP,NTC-10,negative_control
AEBP2,NTC-10,negative_control
AEN,NTC-10,negative_control
AES,NTC-10,negative_control
AF274858.1,NTC-10,negative_control
AFAP1,NTC-10,negative_control
AFDN,NTC-10,negative_control
AFF1,NTC-10,negative_control
AFF4,NTC-10,negative_control
AFG1L,NTC-10,negative_control
AFG3L1P,NTC-10,negative_control
AFG3L2,NTC-10,negative_control
AFMID,NTC-10,negative_control
AFTPH,NTC-10,negative_control
AGA,NTC-10,negative_control
AGAP1,NTC-10,negative_control
AGAP3,NTC-10,negative_control
AGBL3,NTC-10,negative_control
AGBL5,NTC-10,negative_control
AGFG1,NTC-10,negative_control
AGFG2,NTC-10,negative_control
AGGF1,NTC-10,negative_control
AGK,NTC-10,negative_control
AGL,NTC-10,negative_control
AGMO,NTC-10,negative_control
AGO1,NTC-10,negative_control
AGO2,NTC-10,negative_control
AGO3,NTC-10,negative_control
AGO4,NTC-10,negative_control
AGPAT1,NTC-10,negative_control
AGPAT2,NTC-10,negative_control
AGPAT3,NTC-10,negative_control
AGPAT4,NTC-10,negative_control
AGPAT5,NTC-10,negative_control
AGPS,NTC-10,negative_control
AGRN,NTC-10,negative_control
AGTPBP1,NTC-10,negative_control
AGTRAP,NTC-10,negative_control
AHCTF1,NTC-10,negative_control
AHCYL1,NTC-10,negative_control
AHCYL2,NTC-10,negative_control
AHCY,NTC-10,negative_control
AHDC1,NTC-10,negative_control
AHI1,NTC-10,negative_control
AHNAK,NTC-10,negative_control
AHSA1,NTC-10,negative_control
AHSA2P,NTC-10,negative_control
AHSP,NTC-10,negative_control
AIDA,NTC-10,negative_control
AIF1L,NTC-10,negative_control
AIF1,NTC-10,negative_control
AIFM1,NTC-10,negative_control
AIFM2,NTC-10,negative_control
AIG1,NTC-10,negative_control
AIMP1,NTC-10,negative_control
AIMP2,NTC-10,negative_control
AIP,NTC-10,negative_control
AK1,NTC-10,negative_control
AK2,NTC-10,negative_control
AK3,NTC-10,negative_control
AK4,NTC-10,negative_control
AK5,NTC-10,negative_control
AK6,NTC-10,negative_control
AKAP10,NTC-10,negative_control
AKAP11,NTC-10,negative_control
AKAP17A,NTC-10,negative_control
AKAP1,NTC-10,negative_control
AKAP7,NTC-10,negative_control
AKAP8L,NTC-10,negative_control
AKAP8,NTC-10,negative_control
AKAP9,NTC-10,negative_control
AKIP1,NTC-10,negative_control
AKIRIN1,NTC-10,negative_control
AKIRIN2,NTC-10,negative_control
AKNA,NTC-10,negative_control
AKR1A1,NTC-10,negative_control
AKR1B15,NTC-10,negative_control
AKR1C1,NTC-10,negative_control
AKR1C2,NTC-10,negative_control
AKR1C3,NTC-10,negative_control
AKR1E2,NTC-10,negative_control
AKR7A2,NTC-10,negative_control
AKT1,NTC-10,negative_control
AKT1S1,NTC-10,negative_control
AKT2,NTC-10,negative_control
AL031777.3,NTC-10,negative_control
AL135905.2,NTC-10,negative_control
AL162231.1,NTC-10,negative_control
AL354822.1,NTC-10,negative_control
AL356534.1,NTC-10,negative_control
AL359976.1,NTC-10,negative_control
AL390334.1,NTC-10,negative_control
AL390719.1,NTC-10,negative_control
AL390728.4,NTC-10,negative_control
AL390879.1,NTC-10,negative_control
AL442128.1,NTC-10,negative_control
AL512646.1,NTC-10,negative_control
AL589743.1,NTC-10,negative_control
AL591438.2,NTC-10,negative_control
AL662884.4,NTC-10,negative_control
AL669831.1,NTC-10,negative_control
