"target_name","target_mean","target_non_zero_count"
"PRAMEF11",0,0
"PRAMEF30P",0,0
"HNRNPCL1",0,0
"PRAMEF2",0.000106484932382068,1
"PRAMEF4",0,0
"PRAMEF10",0,0
"PRAMEF7",0,0
"PRAMEF29P",0,0
"PRAMEF6",0,0
"PRAMEF28P",0,0
"PRAMEF27",0,0
"HNRNPCL3",0,0
"PRAMEF25",0,0
"PRAMEF34P",0,0
"PRAMEF35P",0,0
"HNRNPCL2",0.000319454797146204,3
"PRAMEF36P",0,0
"PRAMEF26",0,0
"HNRNPCL4",0,0
"PRAMEF9",0,0
"PRAMEF13",0.000319454797146204,3
"PRAMEF18",0.000638909594292408,6
"PRAMEF31P",0,0
"PRAMEF5",0,0
"PRAMEF32P",0,0
"PRAMEF8",0,0
"PRAMEF33",0,0
"PRAMEF15",0,0
"PRAMEF14",0,0
"PRAMEF19",0,0
"PRAMEF17",0.000106484932382068,1
"PRAMEF20",0,0
"LRRC38",0.000212969864764136,2
"BRWD1P1",0.000106484932382068,1
"PDPN",0.00340751783622617,31
"RNA5SP41",0,0
"PRDM2",0.481524864231711,3236
"KAZN",0.150569694388244,1234
"TBCAP2",0.000106484932382068,1
"TMEM51",0.0615482909168353,433
"MFFP1",0.000319454797146204,2
"ZBTB2P1",0.000106484932382068,1
"FHAD1",0.0518581620700671,425
"EFHD2",0.377489085294431,2701
"CTRC",0.00926418911723991,87
"CELA2A",0.0146949206687254,104
"CELA2B",0.00468533702481099,23
"CASP9",0.399318496432755,2930
"DNAJC16",0.215206048344159,1706
"AGMAT",0.0196997124906826,181
"CHCHD2P6",0.00692152060483442,65
"CD24P1",0,0
"DDI2",0.589181130869982,3719
"RSC1A1",0,0
"PLEKHM2",0.298903205196465,2291
"SLC25A34",0.0170375891811309,155
"TMEM82",0.000106484932382068,1
"FBLIM1",0.112874028324992,979
"RPL12P14",0.00734746033436269,69
"UQCRHL",0.0264082632307528,242
"ENSG00000178715",0.00585667128101374,55
"SPEN",1.27387924608668,5712
"ENSG00000270620",0,0
"ZBTB17",0.222234053881376,1769
"ENSG00000234607",0.000106484932382068,1
"ENSG00000231353",0,0
"ENSG00000275503",0,0
"TBC1D3P6",0,0
"SRARP",0.0117133425620275,108
"HSPB7",0.00212969864764136,19
"CLCNKA",0.00212969864764136,19
"ENSG00000232456",0,0
"CLCNKB",0.00106484932382068,10
"FAM131C",0.000425939729528272,4
"EPHA2",0.000851879459056543,8
"ARHGEF19",0.125758705143222,1056
"ANO7L1",0.0106484932382068,96
"CPLANE2",0.0396123948461293,358
"MT1XP1",0.00149078905334895,13
"FBXO42",0.263017782983708,2027
"SZRD1",0.847939516558407,4772
"RPL22P3",0.0026621233095517,25
"SPATA21",0.00670855074007028,63
"NECAP2",0.62357576402939,3961
"CROCCP3",0.0472793099776382,427
"PDE4DIPP8",0.000638909594292408,6
"NBPF1",0.720690022361836,4302
"CROCCP2",0.525396656373123,3535
"ENSG00000283773",0,0
"MST1P2",0.00191672878287722,18
"ENSG00000280114",0.00149078905334895,14
"EIF1AXP1",0.000106484932382068,1
"ESPNP",0.00319454797146204,30
"CROCC",0.087743584282824,762
"CROCCP4",0.0182089234373336,164
"MST1L",0.00255563837716963,24
"PDE4DIPP9",0.000106484932382068,1
"ENSG00000235241",0,0
"MFAP2",0.000851879459056543,7
"ATP13A2",0.20700670855074,1678
"SDHB",3.76626557342136,8214
"PADI2",0.00159727398573102,15
"PADI1",0,0
"PADI3",0.000425939729528272,4
"PADI4",0.00511127675433926,47
"PADI6",0,0
"RCC2",0.720477052497072,4252
"ARHGEF10L",0.000319454797146204,3
"ACTL8",0.0283249920136301,222
"IGSF21",0.000212969864764136,2
"KLHDC7A",0,0
"DYNLL1P3",0.000319454797146204,3
"ENSG00000225478",0,0
"PAX7",0.000319454797146204,3
"TAS1R2",0,0
"ENSG00000255275",0.000212969864764136,2
"ALDH4A1",0.0565434990948781,503
"IFFO2",0.00330103290384411,30
"UBR4",2.781492918752,7748
"EMC1",0.479288680651688,3280
"MRTO4",2.58875519114045,7224
"ENSG00000286064",0.00276860824193377,26
"AKR7L",0.0171440741135129,153
"AKR7A3",0.00404642743051858,38
"ENSG00000270728",0.0137365562772868,127
"AKR7A2",2.31924182728144,7500
"SLC66A1",0.659674156106911,4127
"CAPZB",3.19156639335534,8163
"MICOS10",1.96304972846342,6964
"NBL1",0.00692152060483442,63
"MICOS10-NBL1",0.000212969864764136,2
"ENSG00000226396",0.0445107017357044,405
"HTR6",0.000106484932382068,1
"TMCO4",0.0376956660632521,325
"RNF186",0,0
"OTUD3",0.161857097220743,1319
"PLA2G2E",0,0
"PLA2G2A",0,0
"PLA2G5",0.000638909594292408,6
"PLA2G2D",0.00436588222766479,41
"PLA2G2F",0,0
"PLA2G2C",0.0137365562772868,126
"UBXN10",0.0669790224683207,560
"VWA5B1",0.0113938877648813,104
"CAMK2N1",0.133532105207113,1040
"MUL1",0.28527313385156,2212
"RPS4XP4",0,0
"FAM43B",0.000958364391438611,9
"CDA",0.00159727398573102,13
"PINK1",0.187306996060057,1519
"DDOST",1.9554892982643,7064
"KIF17",0.00425939729528272,37
"ENSG00000235432",0.000106484932382068,1
"SH2D5",0.000638909594292408,6
"HP1BP3",2.71760195932276,7762
"EIF4G3",0.566073900543073,3609
"RPS15AP6",0.00468533702481099,44
"ENSG00000236073",0.000212969864764136,2
"HSPE1P27",0.000106484932382068,1
"ECE1",0.110744329677351,896
"PPP1R11P1",0.000212969864764136,2
"PDE4DIPP10",0,0
"NBPF2P",0.00543073155148547,47
"HS6ST1P1",0,0
"CROCCP5",0,0
"NBPF3",0.0590991374720477,518
"PFN1P10",0,0
"ALPL",0.00191672878287722,15
"RAP1GAP",0.471515280587797,3149
"USP48",2.4447875625599,7557
"ENSG00000231978",0.00117133425620275,11
"LDLRAD2",0.000638909594292408,5
"HSPG2",0.0849749760408902,723
"ENSG00000232037",0.00372697263337238,35
"ENSG00000283234",0.000106484932382068,1
"CELA3B",0.00521776168672133,48
"CELA3A",0.000106484932382068,1
"CDC42",1.295708657225,6158
"ENSG00000285794",0.025023959109786,231
"MPHOSPH6P1",0.00053242466191034,5
"WNT4",0.000319454797146204,3
"PPIAP34",0.00351400276860824,33
"ZBTB40",0.318176977957619,2303
"EPHA8",0,0
"C1QA",0,0
"C1QC",0,0
"C1QB",0,0
"EPHB2",0.00553721648386753,52
"LACTBL1",0,0
"TEX46",0.00191672878287722,17
"KDM1A",1.09051219252476,5322
"LUZP1",0.416462570546268,2826
"ENSG00000229010",0.000106484932382068,1
"HTR1D",0.0192737727611543,180
"ENSG00000215381",0.00372697263337238,35
"HNRNPR",3.98168459163028,8300
"ZNF436",0.0842295815142157,728
"TCEA3",0.00489830688957513,46
"ENSG00000232482",0.000319454797146204,3
"ASAP3",0.249813651368331,1868
"E2F2",0.163880310936003,1333
"ID3",2.22478969225855,3509
"ENSG00000229239",0,0
"RPL11",120.630177829837,9389
"ELOA",0.988606112235119,5136
"PITHD1",2.44659780641039,7349
"LYPLA2",1.06218720051113,5431
"GALE",1.16164412735598,5170
"HMGCL",0.422106271962517,3012
"FUCA1",0.246193163667341,1925
"CNR2",0.0237461399212011,221
