"Gene","gRNA","p_value"
"ACADS","NTC-10",0.443412640517569
"ACADVL","NTC-10",0.536188785982693
"ACAP2","NTC-10",0.814237337872528
"ACAP3","NTC-10",0.694506473118854
"ACAT1","NTC-10",0.483713917670824
"ACAT2","NTC-10",0.624180917968205
"ACBD3","NTC-10",0.786863635474047
"ACBD5","NTC-10",0.180347361945576
"ACBD6","NTC-10",0.442143053848094
"ACCS","NTC-10",0.989573271516039
"ACD","NTC-10",0.445649744593843
"ACER3","NTC-10",0.45004293411099
"ACHE","NTC-10",0.0269201786471389
"ACIN1","NTC-10",0.25962133560864
"ACLY","NTC-10",0.699750950419757
"ACO1","NTC-10",0.999688281082484
"ACO2","NTC-10",0.14062449318001
"ACOT11","NTC-10",0.599834088763068
"ACOT13","NTC-10",0.631331537838722
"ACOT7","NTC-10",0.0376451402941891
"ACOT8","NTC-10",0.181248351468938
"ACOT9","NTC-10",0.798185838619217
"ACOX1","NTC-10",0.0526894874204271
"ACOX3","NTC-10",0.664825916365236
"ACP1","NTC-10",0.00810478930353071
"ACP2","NTC-10",0.801089167554477
"ACP5","NTC-10",0.459361575339145
"ACRBP","NTC-10",0.00498794190190598
"ACSBG1","NTC-10",0.711434115437678
"ACSF3","NTC-10",0.351620987646914
"ACSL1","NTC-10",0.605739528546296
"ACSL3","NTC-10",0.452043636949988
"ACSL4","NTC-10",0.053413697142038
"ACSL6","NTC-10",0.230056113441282
"ACSM3","NTC-10",0.699528239134584
"ACSS2","NTC-10",0.638007085575531
"ACTB","NTC-10",0.224476769615499
"ACTG1","NTC-10",0.272093582143524
"ACTL6A","NTC-10",0.311833592035127
"ACTN1","NTC-10",0.240316178488564
"ACTR10","NTC-10",0.902092264002606
"ACTR1A","NTC-10",0.647884878632687
"ACTR1B","NTC-10",0.149755483765975
"ACTR2","NTC-10",0.0966715094288937
"ACTR3B","NTC-10",0.181834793313488
"ACTR3C","NTC-10",0.972785661188652
"ACTR3","NTC-10",0.90308887643544
"ACTR5","NTC-10",0.887070614288221
"ACTR6","NTC-10",0.261336491563367
"ACTR8","NTC-10",0.618096620339175
"ACVR1B","NTC-10",0.000384080301119876
"ACVR1","NTC-10",0.487044411250191
"ACVR2B","NTC-10",0.632807707327526
"ACY1","NTC-10",0.921904615882744
"ACYP1","NTC-10",0.570641986363693
"ACYP2","NTC-10",0.0210075775974637
"ADAL","NTC-10",0.655841618338253
"ADAM10","NTC-10",0.230341479573828
"ADAM15","NTC-10",0.83743237022667
"ADAM17","NTC-10",0.0483671011200825
"ADAM19","NTC-10",0.0218039969551272
"ADAM32","NTC-10",0.879263262163366
"ADAM3A","NTC-10",0.395651849906016
"ADAM9","NTC-10",0.0840789594630697
"ADAMTS14","NTC-10",0.665594607060341
"ADAMTS3","NTC-10",0.470533104610306
"ADAMTS6","NTC-10",0.880180528047578
"ADAMTSL3","NTC-10",0.283146550484711
"ADAMTSL4","NTC-10",0.359880613416533
"ADAMTSL5","NTC-10",0.0215819914774097
"ADA","NTC-10",0.147497940320677
"ADARB1","NTC-10",0.74072339407853
"ADAR","NTC-10",0.945642602938403
"ADAT1","NTC-10",0.0753967872306172
"ADAT2","NTC-10",0.677074003418628
"ADCK1","NTC-10",0.911205478130726
"ADCK2","NTC-10",0.0486584415917908
"ADCK5","NTC-10",0.443890651717814
"ADCY3","NTC-10",0.71924458286131
"ADCY7","NTC-10",0.23109980611938
"ADD1","NTC-10",0.0210445046041097
"ADD2","NTC-10",0.755216022767992
"ADD3","NTC-10",0.160220371896512
"ADGRB3","NTC-10",0.654939897808166
"ADGRD1","NTC-10",0.714205180433303
"ADGRE2","NTC-10",0.608595971701432
"ADGRE5","NTC-10",0.626677011316908
"ADGRF3","NTC-10",0.177421486453749
"ADGRL1","NTC-10",0.035186108859052
"ADGRV1","NTC-10",0.932810160658372
"ADH5","NTC-10",0.858515359631607
"ADI1","NTC-10",0.997858911229812
"ADIPOR1","NTC-10",0.446960182402455
"ADIPOR2","NTC-10",0.509158239891776
