"Gene","gRNA","p_value"
"P3H3","SNP-27-1",0.509202377301013
"LTBR","SNP-27-1",0.655839802936852
"NCAPD2","SNP-27-1",0.126461448886492
"GAPDH","SNP-27-1",0.000106645404813805
"PCBD2","SNP-78-2",0.86447303583318
"PITX1","SNP-78-2",0.391068910154378
"RRP12","SNP-38-1",0.00023975112351354
"MMS19","SNP-38-1",0.75481438878056
"PI4K2A","SNP-38-1",0.271713842146364
"FRAT2","SNP-38-1",0.206322951146386
"ZDHHC16","SNP-38-1",0.64293780231893
"MORN4","SNP-38-1",0.397587897805773
"MARVELD1","SNP-38-1",0.797969600753784
"ARHGAP19","SNP-38-1",0.00407394980838298
"ZFYVE27","SNP-38-1",0.0334221818929069
"EXOSC1","SNP-38-1",0.074133736097461
"AVPI1","SNP-38-1",0.313319350766815
"PGAM1","SNP-38-1",0.287909328662068
"YY1","SNP-67-2",0.000545078276312994
"WDR25","SNP-67-2",0.587221904024652
"NEIL2","SNP-45-2",0.0953034834286952
"FDFT1","SNP-45-2",0.0024749270526827
"TSC1","SNP-63-2",0.199083361405539
"SPACA9","SNP-63-2",0.739723784254636
"REXO4","SNP-63-2",0.0109866747891303
"MED22","SNP-63-2",0.190259259052028
"SURF4","SNP-63-2",4.76524053246911e-05
"SURF1","SNP-63-2",0.058705891237145
"CACFD1","SNP-63-2",0.991276277750452
"RALGDS","SNP-63-2",0.939448978165679
"SURF6","SNP-63-2",1.88352842191353e-06
"DDX31","SNP-63-2",0.051174691206093
"RPL7A","SNP-63-2",2.20488616830389e-11
"SURF2","SNP-63-2",9.3467927125205e-11
"GTF3C5","SNP-63-2",0.0117481539213334
"GTF3C4","SNP-63-2",0.00333081357321439
"NAA40","SNP-53-2",0.431571404408056
"COX8A","SNP-53-2",1.50752779423586e-12
"STIP1","SNP-53-2",2.4097675152924e-05
"CCDC88B","SNP-53-2",0.018679803266997
"ESRRA","SNP-53-2",5.82279198823256e-05
"PRDX5","SNP-53-2",0.115913688434794
"FERMT3","SNP-53-2",0.0348796506516957
"DNAJC4","SNP-53-2",0.19645007971157
"TRMT112","SNP-53-2",1.27095763509362e-09
"MARK2","SNP-53-2",2.21093151746498e-05
"FKBP2","SNP-53-2",0.171948484596541
"RPS6KA4","SNP-53-2",0.616092618611357
"MACROD1","SNP-53-2",0.00379737697188747
"OTUB1","SNP-53-2",2.68115270710911e-06
"PLCB3","SNP-53-2",0.854394823918772
"TRPT1","SNP-53-2",0.00423659912452328
"SPINDOC","SNP-53-2",0.546727208083344
"BAD","SNP-53-2",0.438000784547082
"GPR137","SNP-53-2",0.290551222286468
"CATSPERZ","SNP-53-2",0.000145385505155896
"PPP1R14B","SNP-53-2",9.24765722494943e-08
"NUDT22","SNP-53-2",9.22528277424072e-05
"NEK7","SNP-12-2",0.30628902936402
"GTF3C5","SNP-76-2",0.000227963836755577
"MED22","SNP-76-2",0.143564674456456
"SURF6","SNP-76-2",0.0172002462036984
"RPL7A","SNP-76-2",4.80686084322526e-06
"GTF3C4","SNP-76-2",0.0112696571754895
"SURF4","SNP-76-2",0.0436832398063754
"CACFD1","SNP-76-2",0.481622764532404
"TSC1","SNP-76-2",0.459136223882838
"REXO4","SNP-76-2",0.00391983097149768
"SPACA9","SNP-76-2",0.302635312926383
"DDX31","SNP-76-2",0.104052129253318
"RALGDS","SNP-76-2",0.139388454182639
"SURF1","SNP-76-2",0.0610188280770555
"SURF2","SNP-76-2",2.42879503173019e-07
"CDT1","SNP-73-1",0.028529848694043
"CBFA2T3","SNP-73-1",0.528785667371363
"ACSF3","SNP-73-1",0.0506258896383623
"GALNS","SNP-73-1",0.189032309481503
"CYBA","SNP-73-1",2.16608266481606e-05
"TRAPPC2L","SNP-73-1",0.000620844166023054
"MVD","SNP-73-1",0.519699884455984
"APRT","SNP-73-1",0.000659748829395202
"SNAI3","SNP-73-1",0.18059261395079
"PIEZO1","SNP-73-1",0.385167629840069
"RNF166","SNP-73-1",0.0514376628034047
"ZNF778","SNP-73-1",0.0321350735152712
"ZC3H18","SNP-73-1",0.0491188467561558
"CTU2","SNP-73-1",0.365320193570593
"CTSZ","SNP-48-1",0.162806524128864
"TUBB1","SNP-48-1",0.00481049004123132
"PRELID3B","SNP-48-1",0.0111034249083517
"STX16","SNP-48-1",0.602539672024201
"NELFCD","SNP-48-1",0.650602035164642
"ATP5F1E","SNP-48-1",0.000116587053476243
"GNAS","SNP-48-1",0.000535904194229984
"SMUG1","SNP-83-2",0.0278126248647683
"CBX5","SNP-83-2",0.387651920813013
"HOXC8","SNP-83-2",0.430702319857789
"HOXC9","SNP-83-2",0.756200791159268
"COPZ1","SNP-83-2",0.000167640163664946
"ZNF385A","SNP-83-2",0.0372304390659208
"HOXC6","SNP-83-2",0.284670662854272
"ITGA5","SNP-83-2",0.771153823434998
"GTSF1","SNP-83-2",0.0234330192505452
"NCKAP1L","SNP-83-2",0.963637622431885
"HNRNPA1","SNP-83-2",0.0542334467857326
"LAMP1","SNP-5-2",0.0532431915472471
"DCUN1D2","SNP-5-2",0.822793279560731
"TFDP1","SNP-5-2",0.0118988361321973
"TMCO3","SNP-5-2",0.710179054480633
"GRTP1","SNP-5-2",0.0248214440544217
"PCID2","SNP-5-2",0.00165167032370307
"CUL4A","SNP-5-2",0.041631786160662
"DYNLL1","SNP-81-2",0.980829474736483
"TRIAP1","SNP-81-2",0.865529119625387
"SRSF9","SNP-81-2",0.259954417005051
"SPPL3","SNP-81-2",0.891903683016715
"POP5","SNP-81-2",0.247356798163452
"RPLP0","SNP-81-2",0.0165369354388541
"COQ5","SNP-81-2",0.361680656291011
"PXN","SNP-81-2",0.861783819120793
"GCN1","SNP-81-2",0.446709624755865
