"gene_id","gRNA_id","gRNA_type","p_value","z_value","log_fold_change"
"MTHFS","NTC-10","negative_control",0.260924287751232,-0.635487664947791,-0.0518315097141406
"MTIF2","NTC-10","negative_control",0.175708697288681,-0.924446325622565,-0.0509050708283202
"MTIF3","NTC-10","negative_control",0.351948695386211,-0.391878390783079,-0.0240356467636668
"MTLN","NTC-10","negative_control",0.57759833691776,0.183102903929658,0.00992946877165654
"MTM1","NTC-10","negative_control",0.411101411744946,-0.220812359455092,-0.0466095905023947
"MTMR10","NTC-10","negative_control",0.109734718735906,-1.2046324572337,-0.312423412879012
"MTMR12","NTC-10","negative_control",0.336951041726586,-0.360573180669417,-0.0435678950117455
"MTMR14","NTC-10","negative_control",0.57643763200177,0.161349978095393,0.01244936581097
"MTMR1","NTC-10","negative_control",0.0787812037884019,-1.37163625205101,-0.271858295095056
"MTMR2","NTC-10","negative_control",0.596497413968941,0.179312203853385,0.017189631989793
"MTMR3","NTC-10","negative_control",0.809759744793559,0.873948482610502,0.13370753673033
"MTMR4","NTC-10","negative_control",0.103433299365323,-1.19483849754901,-0.138310492664049
"MTMR6","NTC-10","negative_control",0.453095946603101,-0.0846748905588828,-0.0115181944739211
"MTMR9","NTC-10","negative_control",0.631338038212982,0.271157519334492,0.0341718304263041
"MT-ND1","NTC-10","negative_control",0.482187916044728,-0.0676041873029034,-0.00175759928061492
"MT-ND2","NTC-10","negative_control",0.112773275272213,-1.18472291972136,-0.0388207749603633
"MT-ND3","NTC-10","negative_control",0.0806813818118565,-1.32240119633545,-0.0397720592806898
"MT-ND4L","NTC-10","negative_control",0.0886943441742363,-1.22348555458619,-0.0361537945881696
"MT-ND4","NTC-10","negative_control",0.400116857455192,-0.244086675819508,-0.00685892306174773
"MT-ND5","NTC-10","negative_control",0.377622377622378,-0.337448641697253,-0.0104871823534931
"MT-ND6","NTC-10","negative_control",0.65453380498507,0.385809430707126,0.0152414026661756
"MTO1","NTC-10","negative_control",0.198943827531666,-0.874549103208381,-0.0661882015453383
"MTOR","NTC-10","negative_control",0.504030745369224,0.0128951569693352,0.00153840400636263
"MTPAP","NTC-10","negative_control",0.948484626913133,1.7296442220843,0.147884584611191
"MTPN","NTC-10","negative_control",0.610220256897765,0.230629506893337,0.0096850151070309
"MTREX","NTC-10","negative_control",0.128893768804132,-1.12515044408249,-0.0701281371869305
"MTRF1L","NTC-10","negative_control",0.32967032967033,-0.406805775456446,-0.0312888559563581
"MTRF1","NTC-10","negative_control",0.618207376737151,0.210824548194938,0.0235684664385356
"MTR","NTC-10","negative_control",0.223776223776224,-0.740638627312621,-0.0567149310057269
"MTRR","NTC-10","negative_control",0.105863786943559,-1.15015415536022,-0.117317367752164
"MTURN","NTC-10","negative_control",0.452734287006867,-0.167251207232041,-0.0199974126700537
"MTX1","NTC-10","negative_control",0.668776258900403,0.442064450613332,0.0248074241686728
"MTX2","NTC-10","negative_control",0.507663464099667,0.0346949233640318,0.00151869417392914
"MUC1","NTC-10","negative_control",0.705014569165667,0.485161985602347,0.0951449817631751
"MUL1","NTC-10","negative_control",0.323015721308912,-0.414466852089716,-0.0425186999538105
"MUS81","NTC-10","negative_control",0.585318375436375,0.247870325329201,0.0186808111025497
"MUTYH","NTC-10","negative_control",0.197887066605393,-0.851358520361618,-0.0882398110210389
"MVB12A","NTC-10","negative_control",0.763790002857812,0.735496791248869,0.0452371336288185
"MVD","NTC-10","negative_control",0.620671089428324,0.361434197359636,0.0254585377761353
"MVK","NTC-10","negative_control",0.4610046137906,-0.155604686604229,-0.0158814477616027
"MVP","NTC-10","negative_control",0.882093324014542,1.1214141986019,0.219054033103439
"MX1","NTC-10","negative_control",0.731997465170302,0.579531891022259,0.114316624141316
"MXD1","NTC-10","negative_control",0.425533013228497,-0.164769034777306,-0.0208061985619334
"MXD3","NTC-10","negative_control",0.574082949618311,0.0774946507632603,0.0154111699209181
"MXD4","NTC-10","negative_control",0.55685540928193,0.100325096383339,0.0104727101486095
"MXI1","NTC-10","negative_control",0.609979088731432,0.228656313008139,0.0266008929297283
"MXRA7","NTC-10","negative_control",0.552786429531779,0.110442054534226,0.0147428457124563
"MXRA8","NTC-10","negative_control",0.580829812814695,0.105302597859062,0.0215384084516503
"MYADM","NTC-10","negative_control",0.665699075502071,0.419369625227429,0.0361580972203916
"MYBBP1A","NTC-10","negative_control",0.269680858390121,-0.6679587443785,-0.0577001603850614
"MYBL1","NTC-10","negative_control",0.261707921576727,-0.620322846578149,-0.150912134400668
"MYBL2","NTC-10","negative_control",0.39825156694955,-0.273423535392531,-0.0195585226703999
"MYB","NTC-10","negative_control",0.843983011543139,0.934092403944375,0.0876505050885473
"MYCBP2","NTC-10","negative_control",0.745483710870549,0.663605891251746,0.0508208108630214
"MYCBP","NTC-10","negative_control",0.843314430294527,0.983971553205036,0.136870216937623
"MYCL","NTC-10","negative_control",0.103134740657338,-1.21045611547982,-0.224640627986057
"MYC","NTC-10","negative_control",0.0750916500692231,-1.33087074227689,-0.0937861710278147
"MYD88","NTC-10","negative_control",0.191030442510757,-0.876472109572474,-0.0916009371377058
"MYDGF","NTC-10","negative_control",0.119949648278144,-1.08023889550227,-0.0490722628350038
"MYEOV","NTC-10","negative_control",0.266857632580031,-0.675855010012622,-0.101386255360741
"MYH10","NTC-10","negative_control",0.651603460599543,0.34788595528159,0.0220693156209181
"MYH11","NTC-10","negative_control",0.43044340983937,-0.214188611395603,-0.0474068774484113
"MYH9","NTC-10","negative_control",0.207720546257165,-0.768203807079466,-0.0537877310567526
"MYL12A","NTC-10","negative_control",0.411274008640363,-0.227586118587457,-0.00763594099967135
"MYL12B","NTC-10","negative_control",0.436353352536997,-0.160516740883232,-0.005177211210174
"MYL4","NTC-10","negative_control",0.327515168116927,-0.447303975913897,-0.0215610289395896
"MYL5","NTC-10","negative_control",0.1001935855383,-1.35104699130371,-0.184547036372101
"MYL6B","NTC-10","negative_control",0.597630938688139,0.187234334311971,0.00924596372443465
"MYL6","NTC-10","negative_control",0.70266540509772,0.493019373510035,0.0145597142552321
"MYL9","NTC-10","negative_control",0.0916278033400865,-1.29362065438868,-0.324379766589871
"MYLIP","NTC-10","negative_control",0.459948562910453,-0.174328912102448,-0.0130980603094031
"MYLK3","NTC-10","negative_control",0.0729270729270729,-1.43194784127369,-0.171209308059604
"MYLK","NTC-10","negative_control",0.022692778298395,-1.88834080911675,-0.458958304117175
"MYNN","NTC-10","negative_control",0.226310907349314,-0.69275348175036,-0.074344333525308
"MYO10","NTC-10","negative_control",0.0571161165869399,-1.52915896283502,-0.329611998340041
"MYO16","NTC-10","negative_control",0.624628224392639,0.252472708055214,0.0825726061902463
"MYO18A","NTC-10","negative_control",0.104590006739981,-1.2671292323364,-0.143604862680031
"MYO18B","NTC-10","negative_control",0.435730341648379,-0.191103917915213,-0.0235352495685579
"MYO19","NTC-10","negative_control",0.67392312465571,0.432416147124314,0.0285425969299513
"MYO1C","NTC-10","negative_control",0.581048875839101,0.130126061006324,0.0127946667208676
"MYO1D","NTC-10","negative_control",0.059953006995657,-1.42232332422125,-0.120097896512963
"MYO6","NTC-10","negative_control",0.681279313292798,0.473391386516028,0.044569482268096
"MYO9A","NTC-10","negative_control",0.549969645172251,0.0916890511078983,0.010634641256617
"MYO9B","NTC-10","negative_control",0.246753246753247,-0.69441755794489,-0.0658386766106345
"MYOM3","NTC-10","negative_control",0.306844765978439,-0.525167862310993,-0.0933095807799091
"MYPOP","NTC-10","negative_control",0.774225774225774,0.726323068944559,0.104623389097299
"MYRF","NTC-10","negative_control",0.380172804315313,-0.282686514041649,-0.0545542831361714
"MYSM1","NTC-10","negative_control",0.931932613065078,1.48694114002445,0.136115142636216
"MYT1L","NTC-10","negative_control",0.172373522270179,-0.943458622718239,-0.216688381370498
"MZF1","NTC-10","negative_control",0.682376040714515,0.330170060474261,0.0371665155760024
"MZT1","NTC-10","negative_control",0.74048502142181,0.642650502672705,0.0384968633444969
"MZT2A","NTC-10","negative_control",0.717358081319858,0.56833805825236,0.0245236950719308
"MZT2B","NTC-10","negative_control",0.985984287360603,2.13176254917444,0.0888948186937328
"N4BP2L2","NTC-10","negative_control",0.102885644967917,-1.2366922906026,-0.0700625420993776
"N4BP2","NTC-10","negative_control",0.72854882513206,0.644007869226808,0.0551515705985152
"N4BP3","NTC-10","negative_control",0.509027368235385,0.0151008680689053,0.00356184886105915
"N6AMT1","NTC-10","negative_control",0.371253166711942,-0.305583256207247,-0.028998233030195
"NAA10","NTC-10","negative_control",0.955037172437295,1.56841896015423,0.109940822595121
"NAA11","NTC-10","negative_control",0.606721910423661,0.249670139523727,0.0229385640628618
"NAA15","NTC-10","negative_control",0.268101000302667,-0.615202404961775,-0.038514059759757
"NAA16","NTC-10","negative_control",0.576423576423576,0.117464264666238,0.0121998145596882
"NAA20","NTC-10","negative_control",0.349711458074291,-0.332526413600765,-0.0168776660176152
"NAA25","NTC-10","negative_control",0.725770549669512,0.545469555566615,0.0385811662930821
